divergence_threshold,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown_%,Win_Rate_%,Profit_Factor,Calmar_Ratio
0.05,0.4284,0.3081,23.78,36.54,1.2625,0.4503
0.06,0.6973,0.4689,23.78,36.54,1.4568,0.8083
0.07,2.1585,2.077,11.88,32.69,3.2096,5.0674
0.08,1.5891,1.4087,11.88,25.0,2.5284,3.2578
0.09,1.5891,1.4087,11.88,25.0,2.5284,3.2578
0.1,1.4173,1.2401,11.88,23.08,2.356,2.8163
0.11,1.0429,0.939,11.88,19.23,1.9765,1.9424
0.12,1.7472,1.852,5.91,19.23,3.5006,7.5719
0.13,1.5329,1.3881,5.91,19.23,2.8664,6.7045
0.14,1.6126,1.3672,5.91,19.23,3.1232,7.0829
0.15,1.5449,1.433,5.91,15.38,3.7463,6.1455
