threshold_alpha,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown_%,Win_Rate_%,Profit_Factor,Calmar_Ratio
0.05,0.6434,0.306,9.76,9.62,2.005,1.0978
0.07,0.7537,0.5523,9.76,17.31,1.721,1.7286
0.09,1.3096,1.0707,5.91,25.0,2.1827,5.54
0.11,1.3884,1.2797,5.91,25.0,2.2193,5.9889
0.13,2.1881,2.1166,11.88,30.77,3.25,5.1859
0.15,2.1585,2.077,11.88,32.69,3.2096,5.0674
0.17,1.5035,1.3318,14.44,34.62,2.0735,2.9703
0.19,1.4168,4.308,13.18,42.31,4.2893,14.1972
0.21,1.0179,2.3226,27.13,40.38,2.4448,3.6258
0.23,0.8983,1.5595,21.28,40.38,1.8979,2.6362
0.25,0.9018,1.6236,22.44,40.38,1.8804,2.5159
0.27,0.717,1.2768,20.01,38.46,1.6488,1.9286
