Week_Number,Week_Start,Week_End,Lookback_Start,Lookback_End,Information_Cutoff,Actual_Lookback_Days,Target_Lookback_Days,Trading_Days,Target_Trading_Days,Num_Selected_Pairs,Num_Filtered_Pairs,Pairs,Weekly_Profit_%,Transaction_Costs,Data_Coverage_%
1,2022-01-03,2022-01-07,2021-01-14,2021-12-31,2021-12-31,240,252,5,5,10,0,[],0.0,0.0,95.23809523809523
2,2022-01-10,2022-01-14,2021-01-21,2022-01-07,2022-01-07,240,252,5,5,11,4,"['XTZ-DASH', 'XTZ-LINK', 'MATIC-XLM', 'XTZ-ZCASH']",4.955482482910156,0.004,95.23809523809523
3,2022-01-17,2022-01-21,2021-01-28,2022-01-14,2022-01-14,240,252,5,5,11,0,[],0.0,0.0,95.23809523809523
4,2022-01-24,2022-01-28,2021-02-04,2022-01-21,2022-01-21,240,252,5,5,11,0,[],0.0,0.0,95.23809523809523
5,2022-01-31,2022-02-04,2021-02-11,2022-01-28,2022-01-28,240,252,5,5,12,0,[],0.0,0.0,95.23809523809523
6,2022-02-07,2022-02-11,2021-02-18,2022-02-04,2022-02-04,240,252,5,5,12,0,[],0.0,0.0,95.23809523809523
7,2022-02-14,2022-02-18,2021-02-25,2022-02-11,2022-02-11,240,252,5,5,13,0,[],0.0,0.0,95.23809523809523
8,2022-02-21,2022-02-25,2021-03-04,2022-02-18,2022-02-18,240,252,5,5,13,0,[],0.0,0.0,95.23809523809523
9,2022-02-28,2022-03-04,2021-03-11,2022-02-25,2022-02-25,240,252,5,5,16,0,[],0.0,0.0,95.23809523809523
10,2022-03-07,2022-03-11,2021-03-18,2022-03-04,2022-03-04,240,252,5,5,21,1,['EOS-ZCASH'],-16.770100593566895,0.001,95.23809523809523
11,2022-03-14,2022-03-18,2021-03-25,2022-03-11,2022-03-11,240,252,5,5,32,9,"['XMR-ETH', 'XMR-FIL', 'FIL-ZCASH', 'LINK-ZCASH', 'XMR-LTC', 'XMR-TRX', 'TRX-XRP', 'XMR-ZCASH', 'XTZ-XRP']",-1.758962869644165,0.009000000000000001,95.23809523809523
12,2022-03-21,2022-03-25,2021-04-01,2022-03-18,2022-03-18,240,252,5,5,35,8,"['ETH-AAVE', 'FIL-AAVE', 'XTZ-AAVE', 'EOS-ZCASH', 'LINK-ZCASH', 'XLM-ZCASH', 'XMR-ZCASH', 'XRP-ZCASH']",-1.1878013610839844,0.008,95.23809523809523
13,2022-03-28,2022-04-01,2021-04-08,2022-03-25,2022-03-25,240,252,5,5,46,3,"['TRX-ADA', 'EOS-ZCASH', 'XRP-ZCASH']",1.6396403312683105,0.003,95.23809523809523
14,2022-04-04,2022-04-08,2021-04-15,2022-04-01,2022-04-01,240,252,5,5,50,7,"['ETH-AAVE', 'MATIC-AAVE', 'DOGE-TRX', 'ETH-VET', 'FIL-VET', 'XRP-TRX', 'XMR-VET']",4.7235846519470215,0.007,95.23809523809523
15,2022-04-11,2022-04-15,2021-04-22,2022-04-08,2022-04-08,241,252,5,5,60,4,"['DOGE-XMR', 'EOS-XMR', 'EOS-ZCASH', 'XLM-ZCASH']",2.9322266578674316,0.004,95.63492063492063
