threshold_h,threshold_alpha,pair_hxy_threshold,divergence_threshold,divergence_lookback_days,Sharpe_Ratio
0.13,0.25,0.45999999999999996,0.11,3.0,-1.3614
0.07,0.05,0.48,0.11,6.0,0.3015
0.05,0.25,0.48,0.07,3.0,-0.9567
0.09,0.11,0.4,0.09,4.0,-0.1494
0.16999999999999998,0.07,0.36,0.09,5.0,-0.3258
0.21000000000000002,0.09,0.4,0.11,3.0,-1.672
0.16999999999999998,0.07,0.3,0.15,7.0,-0.2651
0.21000000000000002,0.11,0.32,0.12000000000000001,5.0,-1.1634
0.07,0.15000000000000002,0.3,0.15,4.0,-0.7995
0.19,0.11,0.4,0.11,3.0,-1.9764
0.25,0.16999999999999998,0.5,0.05,7.0,-2.581
0.11,0.05,0.44,0.08,6.0,0.094
0.11,0.05,0.44,0.07,6.0,0.1803
0.11,0.05,0.44,0.05,6.0,0.7926
0.05,0.19,0.5,0.13,6.0,-0.901
0.09,0.21000000000000002,0.44,0.05,6.0,-0.3804
0.13,0.13,0.45999999999999996,0.13,7.0,-1.671
0.07,0.05,0.36,0.060000000000000005,5.0,-0.6885
0.13,0.09,0.48,0.09,6.0,0.1733
0.09,0.09,0.42,0.1,4.0,0.2528
