Week_Number,Week_Start,Week_End,Lookback_Start,Lookback_End,Information_Cutoff,Actual_Lookback_Days,Target_Lookback_Days,Trading_Days,Target_Trading_Days,Num_Selected_Pairs,Num_Filtered_Pairs,Pairs,Weekly_Profit_%,Transaction_Costs,Data_Coverage_%
1,2022-01-03,2022-01-07,2021-01-14,2021-12-31,2021-12-31,240,252,5,5,0,0,[],0.0,0.0,95.23809523809523
2,2022-01-10,2022-01-14,2021-01-21,2022-01-07,2022-01-07,240,252,5,5,0,0,[],0.0,0.0,95.23809523809523
3,2022-01-17,2022-01-21,2021-01-28,2022-01-14,2022-01-14,240,252,5,5,0,0,[],0.0,0.0,95.23809523809523
4,2022-01-24,2022-01-28,2021-02-04,2022-01-21,2022-01-21,240,252,5,5,1,0,[],0.0,0.0,95.23809523809523
5,2022-01-31,2022-02-04,2021-02-11,2022-01-28,2022-01-28,240,252,5,5,0,0,[],0.0,0.0,95.23809523809523
6,2022-02-07,2022-02-11,2021-02-18,2022-02-04,2022-02-04,240,252,5,5,0,0,[],0.0,0.0,95.23809523809523
7,2022-02-14,2022-02-18,2021-02-25,2022-02-11,2022-02-11,240,252,5,5,0,0,[],0.0,0.0,95.23809523809523
8,2022-02-21,2022-02-25,2021-03-04,2022-02-18,2022-02-18,240,252,5,5,1,0,[],0.0,0.0,95.23809523809523
9,2022-02-28,2022-03-04,2021-03-11,2022-02-25,2022-02-25,240,252,5,5,0,0,[],0.0,0.0,95.23809523809523
10,2022-03-07,2022-03-11,2021-03-18,2022-03-04,2022-03-04,240,252,5,5,0,0,[],0.0,0.0,95.23809523809523
11,2022-03-14,2022-03-18,2021-03-25,2022-03-11,2022-03-11,240,252,5,5,0,0,[],0.0,0.0,95.23809523809523
12,2022-03-21,2022-03-25,2021-04-01,2022-03-18,2022-03-18,240,252,5,5,0,0,[],0.0,0.0,95.23809523809523
13,2022-03-28,2022-04-01,2021-04-08,2022-03-25,2022-03-25,240,252,5,5,2,2,"['XMR-ADA', 'LTC-ZCASH']",0.6996631622314453,0.002,95.23809523809523
14,2022-04-04,2022-04-08,2021-04-15,2022-04-01,2022-04-01,240,252,5,5,0,0,[],0.0,0.0,95.23809523809523
15,2022-04-11,2022-04-15,2021-04-22,2022-04-08,2022-04-08,241,252,5,5,2,1,['XLM-DOGE'],0.2561807632446289,0.001,95.63492063492063
16,2022-04-18,2022-04-22,2021-04-29,2022-04-15,2022-04-15,241,252,5,5,0,0,[],0.0,0.0,95.63492063492063
17,2022-04-25,2022-04-29,2021-05-06,2022-04-22,2022-04-22,243,252,5,5,1,0,[],0.0,0.0,96.42857142857143
18,2022-05-02,2022-05-06,2021-05-13,2022-04-29,2022-04-29,248,252,5,5,1,0,[],0.0,0.0,98.4126984126984
19,2022-05-09,2022-05-13,2021-05-20,2022-05-06,2022-05-06,252,252,5,5,2,2,"['MATIC-DASH', 'FIL-EOS']",-1.3970613479614258,0.002,100.0
20,2022-05-16,2022-05-20,2021-05-27,2022-05-13,2022-05-13,252,252,5,5,1,0,[],0.0,0.0,100.0
21,2022-05-23,2022-05-27,2021-06-03,2022-05-20,2022-05-20,252,252,5,5,1,0,[],0.0,0.0,100.0
22,2022-05-30,2022-06-03,2021-06-10,2022-05-27,2022-05-27,252,252,5,5,0,0,[],0.0,0.0,100.0
23,2022-06-06,2022-06-10,2021-06-17,2022-06-03,2022-06-03,252,252,5,5,2,1,['ETH-BTC'],-1.8104910850524902,0.001,100.0
24,2022-06-13,2022-06-17,2021-06-24,2022-06-10,2022-06-10,252,252,5,5,2,1,['ETC-XLM'],-2.6077330112457275,0.001,100.0
25,2022-06-20,2022-06-24,2021-07-01,2022-06-17,2022-06-17,252,252,5,5,1,0,[],0.0,0.0,100.0
26,2022-06-27,2022-07-01,2021-07-08,2022-06-24,2022-06-24,252,252,5,5,0,0,[],0.0,0.0,100.0
27,2022-07-04,2022-07-08,2021-07-15,2022-07-01,2022-07-01,252,252,5,5,3,1,['ZCASH-XRP'],-0.7166624069213867,0.001,100.0
28,2022-07-11,2022-07-15,2021-07-22,2022-07-08,2022-07-08,252,252,5,5,2,0,[],0.0,0.0,100.0
29,2022-07-18,2022-07-22,2021-07-29,2022-07-15,2022-07-15,252,252,5,5,1,0,[],0.0,0.0,100.0
30,2022-07-25,2022-07-29,2021-08-05,2022-07-22,2022-07-22,252,252,5,5,4,3,"['DOGE-BTC', 'XLM-ETC', 'TRX-XRP']",-8.608663082122803,0.003,100.0
