pair_hxy_threshold,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown_%,Win_Rate_%,Profit_Factor,Calmar_Ratio
0.3,-1.0542,-0.3301,23.99,3.85,0.1292,-0.9636
0.32,-1.0605,-0.3327,25.47,5.77,0.1761,-0.9182
0.34,-0.7271,-0.2482,13.61,9.62,0.5428,-0.5942
0.36,-0.4381,-0.171,12.18,13.46,0.7668,-0.3986
0.38,-0.7258,-0.276,16.8,15.38,0.6152,-0.5801
0.4,0.6305,0.4467,16.2,19.23,1.9007,1.0694
0.42,0.6305,0.4467,16.2,19.23,1.9007,1.0694
0.44,0.7926,0.6785,12.82,19.23,2.2623,1.709
0.46,0.9411,0.8182,12.82,21.15,2.4995,2.1161
0.48,0.6997,0.6352,14.07,19.23,1.9949,1.3621
0.5,0.6997,0.6352,14.07,19.23,1.9949,1.3621
0.52,0.8268,0.697,12.82,23.08,2.1879,1.8189
