divergence_threshold,divergence_lookback_days,pval_threshold,Sharpe_Ratio
0.09,7.0,0.035,-1.8252
0.11,3.0,0.02,-1.001
0.05,7.0,0.035,-1.8096
0.12000000000000001,3.0,0.04,-1.6025
0.14,4.0,0.02,-0.9121
0.07,4.0,0.03,-1.1817
0.09,4.0,0.035,-1.2887
0.060000000000000005,4.0,0.025,-0.6069
0.1,6.0,0.02,-0.9596
0.1,5.0,0.02,-2.1701
0.05,5.0,0.025,-2.1576
0.15,4.0,0.025,-0.5768
0.15,4.0,0.025,-0.5768
0.15,3.0,0.025,-0.5187
0.13,3.0,0.03,-1.45
0.15,3.0,0.025,-0.5187
0.13,3.0,0.03,-1.45
0.14,6.0,0.025,-0.6858
0.15,3.0,0.025,-0.5187
0.12000000000000001,5.0,0.03,-1.9545
