Week_Number,Week_Start,Week_End,Lookback_Start,Lookback_End,Information_Cutoff,Actual_Lookback_Days,Target_Lookback_Days,Trading_Days,Target_Trading_Days,Num_Selected_Pairs,Num_Filtered_Pairs,Pairs,Weekly_Profit_%,Transaction_Costs,Data_Coverage_%
1,2023-01-02,2023-01-06,2022-01-13,2022-12-30,2022-12-30,252,252,5,5,22,20,"['AAVE-ADA', 'FIL-ADA', 'ADA-XLM', 'XTZ-ADA', 'AAVE-EOS', 'AAVE-FIL', 'AAVE-VET', 'BCH-DASH', 'BCH-LINK', 'DASH-BTC', 'LINK-BTC', 'VET-BTC', 'DOGE-LTC', 'EOS-ETH', 'LINK-EOS', 'LINK-ETH', 'XMR-ETH', 'LINK-FIL', 'VET-FIL', 'VET-XLM']",-0.3365457057952881,0.02,100.0
2,2023-01-09,2023-01-13,2022-01-20,2023-01-06,2023-01-06,252,252,5,5,16,15,"['ADA-BTC', 'FIL-ADA', 'ADA-XLM', 'XTZ-ADA', 'EOS-AAVE', 'VET-AAVE', 'FIL-BTC', 'VET-BTC', 'DOGE-LTC', 'EOS-ETH', 'VET-FIL', 'FIL-XLM', 'VET-XLM', 'VET-ZCASH', 'XLM-XTZ']",-0.009173154830932617,0.015,100.0
3,2023-01-16,2023-01-20,2022-01-27,2023-01-13,2023-01-13,252,252,5,5,22,18,"['BTC-ADA', 'ADA-FIL', 'XTZ-ADA', 'ZCASH-ADA', 'EOS-AAVE', 'AAVE-FIL', 'AAVE-VET', 'XMR-AAVE', 'XMR-BTC', 'ZCASH-BTC', 'XMR-DASH', 'LTC-DOGE', 'XMR-ETH', 'FIL-VET', 'FIL-XLM', 'ZCASH-FIL', 'ZCASH-VET', 'XTZ-XLM']",0.5788922309875488,0.018000000000000002,100.0
4,2023-01-23,2023-01-27,2022-02-03,2023-01-20,2023-01-20,252,252,5,5,27,26,"['AAVE-ADA', 'FIL-ADA', 'XLM-ADA', 'ADA-XTZ', 'ADA-ZCASH', 'AAVE-ETH', 'AAVE-VET', 'BCH-DASH', 'XMR-BCH', 'XMR-BTC', 'XMR-DASH', 'DOGE-LTC', 'XMR-DOGE', 'EOS-XMR', 'XMR-ETH', 'FIL-LINK', 'FIL-VET', 'FIL-XLM', 'FIL-XMR', 'FIL-ZCASH', 'LINK-XRP', 'XMR-LTC', 'XMR-VET', 'VET-ZCASH', 'XLM-XTZ', 'XTZ-ZCASH']",-0.13481974601745605,0.026000000000000002,100.0
5,2023-01-30,2023-02-03,2022-02-10,2023-01-27,2023-01-27,252,252,5,5,20,20,"['AAVE-ADA', 'FIL-ADA', 'XTZ-ADA', 'ZCASH-ADA', 'ETH-AAVE', 'FIL-AAVE', 'AAVE-VET', 'AAVE-XMR', 'DASH-BCH', 'BCH-XMR', 'LTC-DOGE', 'ETH-XMR', 'FIL-LINK', 'FIL-VET', 'XLM-FIL', 'FIL-ZCASH', 'LINK-XMR', 'LTC-XMR', 'ZCASH-VET', 'XLM-XTZ']",1.305389404296875,0.02,100.0
6,2023-02-06,2023-02-10,2022-02-17,2023-02-03,2023-02-03,252,252,5,5,18,18,"['ADA-FIL', 'ADA-XTZ', 'ADA-ZCASH', 'ETH-AAVE', 'FIL-AAVE', 'VET-AAVE', 'XMR-AAVE', 'XMR-BCH', 'XMR-BTC', 'XMR-DASH', 'XMR-ETH', 'FIL-VET', 'FIL-XLM', 'FIL-ZCASH', 'XMR-LINK', 'ZCASH-VET', 'ZCASH-XLM', 'ZCASH-XTZ']",-0.3750801086425781,0.018000000000000002,100.0
7,2023-02-13,2023-02-17,2022-02-24,2023-02-10,2023-02-10,252,252,5,5,21,20,"['ADA-FIL', 'ADA-XTZ', 'ADA-ZCASH', 'AAVE-EOS', 'ETH-AAVE', 'AAVE-FIL', 'AAVE-VET', 'BCH-XMR', 'BTC-XMR', 'DASH-XMR', 'DOGE-XMR', 'XMR-EOS', 'ETH-XMR', 'FIL-VET', 'XLM-FIL', 'XMR-FIL', 'FIL-ZCASH', 'XMR-LINK', 'XMR-LTC', 'XMR-VET']",-3.058403730392456,0.02,100.0
8,2023-02-20,2023-02-24,2022-03-03,2023-02-17,2023-02-17,252,252,5,5,17,17,"['ADA-XTZ', 'AAVE-EOS', 'AAVE-ETH', 'AAVE-FIL', 'AAVE-LINK', 'AAVE-VET', 'XMR-AAVE', 'XMR-BCH', 'XMR-BTC', 'XMR-DASH', 'XMR-EOS', 'XMR-ETH', 'VET-FIL', 'XMR-FIL', 'XMR-LINK', 'XMR-VET', 'ZCASH-XLM']",0.44547319412231445,0.017,100.0
9,2023-02-27,2023-03-03,2022-03-10,2023-02-24,2023-02-24,252,252,5,5,14,14,"['XTZ-ADA', 'ZCASH-ADA', 'ETH-AAVE', 'FIL-AAVE', 'LINK-AAVE', 'VET-AAVE', 'BCH-XMR', 'BTC-XMR', 'XMR-DASH', 'XMR-ETH', 'FIL-VET', 'XMR-LINK', 'XRP-LINK', 'ZCASH-XLM']",-0.553208589553833,0.014,100.0
10,2023-03-06,2023-03-10,2022-03-17,2023-03-03,2023-03-03,252,252,5,5,13,12,"['ETH-AAVE', 'FIL-AAVE', 'LINK-AAVE', 'VET-AAVE', 'XMR-BCH', 'XMR-DASH', 'LINK-EOS', 'XMR-ETH', 'LINK-FIL', 'VET-FIL', 'XMR-LINK', 'ZCASH-XLM']",-0.5158722400665283,0.012,100.0
