pair_hxy_threshold,divergence_threshold,divergence_lookback_days,Sharpe_Ratio
0.38,0.15,6.0,-1.6071
0.42,0.060000000000000005,3.0,-1.305
0.3,0.14,6.0,-0.675
0.44,0.05,7.0,-2.1427
0.48,0.07,3.0,-1.2142
0.33999999999999997,0.08,5.0,-0.1546
0.38,0.08,6.0,-0.9517
0.32,0.08,4.0,-1.4596
0.4,0.13,3.0,-1.4346
0.4,0.11,3.0,-1.6894
0.33999999999999997,0.1,5.0,0.4336
0.33999999999999997,0.1,5.0,0.4336
0.33999999999999997,0.11,5.0,-0.3495
0.36,0.1,5.0,0.3305
0.3,0.12000000000000001,4.0,-1.5059
0.33999999999999997,0.1,4.0,-1.6249
0.48,0.09,7.0,-0.6685
0.36,0.11,6.0,-0.5061
0.44,0.13,4.0,-1.7877
0.32,0.09,5.0,0.2183
