divergence_threshold,divergence_lookback_days,rho_threshold,Sharpe_Ratio
0.09,7.0,0.6799999999999999,0.8485
0.11,3.0,0.6,-2.9254
0.05,7.0,0.6599999999999999,0.9162
0.12000000000000001,3.0,0.7,0.2152
0.14,4.0,0.62,-1.7605
0.07,4.0,0.6599999999999999,-0.2355
0.09,4.0,0.6599999999999999,-0.4814
0.060000000000000005,4.0,0.64,-1.2916
0.1,6.0,0.62,-0.6587
0.1,5.0,0.6,-2.0092
0.05,7.0,0.7,0.8081
0.08,7.0,0.6799999999999999,0.9636
0.07,6.0,0.6799999999999999,0.2909
0.05,6.0,0.6799999999999999,0.333
0.07,7.0,0.64,0.4237
0.08,6.0,0.6599999999999999,0.1208
0.05,7.0,0.6799999999999999,0.8558
0.13,5.0,0.7,0.9496
0.15,5.0,0.7,-0.0524
0.13,5.0,0.7,0.9496
