threshold_h,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown_%,Win_Rate_%,Profit_Factor,Calmar_Ratio
0.05,-2.474,-0.3431,1.36,0.0,0.0,-0.9694
0.07,-2.474,-0.3431,1.36,0.0,0.0,-0.9694
0.09,0.7483,1.0297,1.36,3.85,6.3699,6.868
0.11,0.797,0.9622,1.5,5.77,4.176,6.789
0.13,-0.2701,-0.1266,11.42,5.77,0.8911,-0.1964
0.15,-0.8372,-0.3934,12.21,7.69,0.537,-0.8154
0.17,-1.1908,-0.5353,16.35,7.69,0.3977,-0.9523
0.19,-1.2512,-0.5522,16.8,7.69,0.3762,-0.953
0.21,-1.1256,-0.4648,15.44,9.62,0.4133,-0.9508
0.23,-1.4755,-0.677,20.35,7.69,0.3248,-0.9725
0.25,-1.6885,-0.7971,23.02,7.69,0.2817,-0.973
0.27,-1.6182,-0.7215,22.56,11.54,0.2947,-0.9554
