"Date","Price","Open","High","Low","Vol.","Change %"
"06/27/2025","259.11","250.44","263.22","248.92","6.91M","3.52%"
"06/26/2025","250.30","255.93","265.44","249.37","7.52M","-2.20%"
"06/25/2025","255.94","264.02","271.00","254.37","7.26M","-3.03%"
"06/24/2025","263.94","256.83","269.51","253.16","10.26M","2.66%"
"06/23/2025","257.09","227.38","258.22","221.83","13.34M","12.86%"
"06/22/2025","227.79","234.97","238.94","213.45","12.95M","-2.96%"
"06/21/2025","234.73","246.91","250.08","227.27","5.87M","-5.03%"
"06/20/2025","247.17","255.63","264.43","242.11","7.54M","-3.32%"
"06/19/2025","255.66","259.03","266.30","249.00","6.82M","-1.30%"
"06/18/2025","259.03","266.59","269.90","255.56","6.71M","-2.84%"
"06/17/2025","266.59","273.66","283.68","262.36","10.66M","-3.00%"
"06/16/2025","274.82","274.29","293.78","271.86","9.00M","-0.10%"
"06/15/2025","275.11","275.21","278.84","266.42","3.75M","0.03%"
"06/14/2025","275.03","291.05","291.05","268.20","6.54M","-5.57%"
"06/13/2025","291.25","293.86","293.86","262.64","23.32M","-0.91%"
"06/12/2025","293.93","303.84","309.08","288.93","11.31M","-3.27%"
"06/11/2025","303.87","308.37","321.83","300.45","11.20M","-1.48%"
"06/10/2025","308.45","283.13","317.16","282.69","14.66M","8.94%"
"06/09/2025","283.13","253.89","285.49","250.40","5.27M","11.52%"
"06/08/2025","253.90","257.37","257.37","252.31","2.33M","-1.35%"
"06/07/2025","257.37","251.28","260.40","249.37","3.18M","2.57%"
"06/06/2025","250.93","241.14","254.99","240.10","3.92M","3.74%"
"06/05/2025","241.88","264.06","266.87","240.32","7.25M","-8.44%"
"06/04/2025","264.16","266.38","275.70","262.79","5.86M","-0.83%"
"06/03/2025","266.38","257.74","272.80","254.27","6.57M","3.38%"
"06/02/2025","257.68","246.02","258.23","239.29","7.26M","4.78%"
"06/01/2025","245.92","246.86","254.35","237.84","6.17M","-0.38%"
"05/31/2025","246.86","250.91","254.37","242.21","8.47M","-1.61%"
"05/30/2025","250.91","250.03","256.22","240.24","11.11M","0.35%"
"05/29/2025","250.03","265.00","274.35","248.98","13.06M","-5.64%"
"05/28/2025","264.98","271.50","274.52","260.43","9.02M","-2.39%"
"05/27/2025","271.47","267.23","282.68","263.04","14.65M","1.59%"
"05/26/2025","267.23","269.07","276.18","259.51","26.36M","-0.72%"
"05/25/2025","269.16","261.76","270.69","256.46","17.22M","2.83%"
"05/24/2025","261.75","256.25","276.70","250.83","19.32M","2.15%"
"05/23/2025","256.25","256.97","264.06","239.53","28.15M","-0.28%"
"05/22/2025","256.97","247.60","259.92","246.88","10.92M","3.79%"
"05/21/2025","247.60","259.33","261.82","243.29","13.11M","-4.49%"
"05/20/2025","259.23","247.68","270.42","246.52","27.93M","4.76%"
"05/19/2025","247.45","232.05","249.58","212.21","11.93M","6.54%"
"05/18/2025","232.26","222.22","243.91","219.09","11.51M","4.40%"
"05/17/2025","222.47","231.04","231.79","219.80","13.72M","-3.68%"
"05/16/2025","230.97","223.38","244.96","221.58","14.88M","3.42%"
"05/15/2025","223.34","229.94","235.21","216.80","9.24M","-2.73%"
"05/14/2025","229.61","236.50","239.08","224.11","6.86M","-2.87%"
"05/13/2025","236.38","221.84","238.13","210.50","7.95M","6.55%"
"05/12/2025","221.85","221.01","229.21","212.25","10.68M","0.37%"
"05/11/2025","221.02","227.59","229.80","214.25","6.67M","-3.22%"
"05/10/2025","228.37","211.10","229.93","208.96","10.14M","8.04%"
"05/09/2025","211.38","206.20","220.54","202.54","8.21M","2.46%"
"05/08/2025","206.29","172.40","208.10","172.04","13.30M","20.00%"
"05/07/2025","171.92","177.75","179.92","167.47","6.63M","-3.28%"
"05/06/2025","177.75","176.88","178.93","163.40","6.16M","0.49%"
"05/05/2025","176.88","171.16","180.68","169.66","7.80M","3.28%"
"05/04/2025","171.27","177.91","178.92","170.97","4.62M","-3.85%"
"05/03/2025","178.12","174.87","181.04","169.66","4.39M","2.03%"
"05/02/2025","174.57","172.98","179.12","171.98","2.65M","0.88%"
"05/01/2025","173.05","164.29","179.26","164.20","6.40M","5.33%"
"04/30/2025","164.29","165.73","166.94","155.69","4.44M","-0.87%"
"04/29/2025","165.74","166.22","171.17","163.36","3.02M","-0.30%"
"04/28/2025","166.24","166.55","174.88","161.92","4.93M","-0.23%"
"04/27/2025","166.62","173.22","179.30","165.62","6.29M","-3.59%"
"04/26/2025","172.83","167.12","173.15","164.51","8.02M","3.72%"
"04/25/2025","166.63","167.86","170.57","162.92","12.26M","-0.72%"
"04/24/2025","167.83","168.09","170.66","158.36","12.12M","-0.15%"
"04/23/2025","168.09","158.17","168.81","157.90","14.47M","6.31%"
"04/22/2025","158.12","142.87","158.92","139.86","9.19M","10.66%"
"04/21/2025","142.89","140.99","146.05","139.18","8.73M","1.35%"
"04/20/2025","140.99","142.04","143.50","136.84","2.65M","-0.74%"
"04/19/2025","142.04","138.39","142.94","137.93","3.09M","2.63%"
"04/18/2025","138.40","138.90","141.10","137.27","3.20M","-0.35%"
"04/17/2025","138.89","134.15","141.53","133.94","8.81M","3.54%"
"04/16/2025","134.15","134.25","137.42","129.96","8.98M","-0.08%"
"04/15/2025","134.25","137.48","142.19","133.66","5.79M","-2.35%"
"04/14/2025","137.48","139.10","147.20","136.96","8.07M","-1.16%"
"04/13/2025","139.10","148.07","148.19","136.68","7.59M","-6.06%"
"04/12/2025","148.07","136.45","150.16","133.84","8.90M","8.52%"
"04/11/2025","136.44","132.09","139.34","131.43","11.20M","3.30%"
"04/10/2025","132.09","143.17","143.33","128.41","11.74M","-7.74%"
"04/09/2025","143.17","125.45","145.01","119.88","23.08M","14.13%"
"04/08/2025","125.45","131.96","136.10","123.59","13.74M","-4.94%"
"04/07/2025","131.97","129.07","135.66","114.20","24.56M","2.25%"
"04/06/2025","129.07","152.64","152.64","126.44","8.78M","-15.44%"
"04/05/2025","152.64","151.94","155.46","149.55","7.79M","0.46%"
"04/04/2025","151.94","151.00","153.94","144.49","19.42M","0.62%"
"04/03/2025","151.00","150.10","157.19","146.38","8.32M","0.60%"
"04/02/2025","150.10","166.03","168.72","149.62","29.59M","-9.60%"
"04/01/2025","166.04","159.82","171.31","159.36","7.49M","3.89%"
"03/31/2025","159.82","163.72","164.60","152.02","11.19M","-2.33%"
"03/30/2025","163.63","168.11","169.64","161.44","18.61M","-2.67%"
"03/29/2025","168.11","175.81","180.58","165.92","16.90M","-4.38%"
"03/28/2025","175.81","184.93","186.95","168.65","15.59M","-4.83%"
"03/27/2025","184.74","177.42","186.07","177.07","6.78M","4.15%"
"03/26/2025","177.38","186.75","190.28","175.27","25.76M","-5.01%"
"03/25/2025","186.74","190.70","192.49","185.51","2.99M","-2.14%"
"03/24/2025","190.82","185.07","194.56","181.39","13.01M","3.16%"
"03/23/2025","184.98","179.76","186.53","179.50","7.57M","2.88%"
"03/22/2025","179.80","178.23","183.64","178.23","4.16M","0.88%"
"03/21/2025","178.23","178.79","183.10","174.15","5.36M","-0.31%"
"03/20/2025","178.79","182.32","183.00","171.70","16.13M","-1.91%"
"03/19/2025","182.27","170.06","184.52","169.70","25.70M","7.21%"
"03/18/2025","170.02","174.81","175.28","164.99","11.89M","-2.74%"
"03/17/2025","174.81","164.87","177.08","164.81","15.21M","6.03%"
"03/16/2025","164.87","172.88","174.00","163.38","9.01M","-4.64%"
"03/15/2025","172.88","173.02","177.25","171.81","4.94M","-0.08%"
"03/14/2025","173.02","162.86","176.65","162.08","18.49M","6.24%"
"03/13/2025","162.86","174.97","176.02","160.22","12.53M","-6.92%"
"03/12/2025","174.97","182.28","184.38","163.99","28.77M","-3.85%"
"03/11/2025","181.98","179.99","185.78","167.13","44.19M","1.11%"
"03/10/2025","179.99","178.87","201.84","175.42","28.58M","0.96%"
"03/09/2025","178.27","195.68","198.15","176.55","15.04M","-8.90%"
"03/08/2025","195.68","196.58","199.25","185.18","10.88M","-0.50%"
"03/07/2025","196.66","208.50","211.89","195.42","18.31M","-5.68%"
"03/06/2025","208.50","220.84","239.40","208.35","21.26M","-5.66%"
"03/05/2025","221.02","205.72","225.96","204.38","19.90M","6.95%"
"03/04/2025","206.65","180.09","216.79","167.61","22.93M","14.25%"
"03/03/2025","180.87","223.48","223.48","177.85","367.41K","-19.06%"
"03/02/2025","223.48","194.99","227.00","190.33","387.35K","14.57%"
"03/01/2025","195.06","192.32","196.98","183.64","157.03K","1.46%"
"02/28/2025","192.26","203.88","204.46","178.32","395.20K","-5.70%"
"02/27/2025","203.88","202.61","209.81","196.73","189.19K","0.62%"
"02/26/2025","202.62","205.12","211.50","192.47","363.10K","-1.22%"
"02/25/2025","205.12","210.45","213.15","189.74","559.26K","-2.51%"
"02/24/2025","210.40","247.83","249.32","206.85","279.20K","-15.04%"
"02/23/2025","247.65","247.14","253.92","243.71","97.99K","0.21%"
"02/22/2025","247.14","241.82","251.58","239.02","143.87K","1.80%"
"02/21/2025","242.76","261.23","268.98","238.94","323.51K","-7.07%"
"02/20/2025","261.22","252.70","263.32","251.19","144.35K","3.27%"
"02/19/2025","252.95","249.33","258.28","246.96","163.59K","1.33%"
"02/18/2025","249.62","264.53","266.02","241.75","225.75K","-5.56%"
"02/17/2025","264.32","254.02","278.44","250.12","320.19K","4.06%"
"02/16/2025","254.02","252.29","258.99","250.02","70.50K","1.21%"
"02/13/2025","250.98","252.65","255.16","250.26","243.29K","-0.66%"
"02/12/2025","252.65","243.85","260.05","232.38","241.07K","3.61%"
"02/11/2025","243.85","252.54","262.29","242.03","231.08K","-3.44%"
"02/10/2025","252.54","241.22","256.72","234.57","247.54K","4.68%"
"02/09/2025","241.25","238.89","252.47","229.95","212.10K","0.99%"
"02/08/2025","238.89","238.08","241.50","231.18","142.21K","0.34%"
"02/07/2025","238.08","241.64","261.85","231.15","295.71K","-1.47%"
"02/06/2025","241.64","259.59","266.64","239.51","279.19K","-6.91%"
"02/05/2025","259.59","272.37","282.71","256.44","313.28K","-4.69%"
"02/04/2025","272.37","276.49","277.76","249.79","525.57K","-1.49%"
"02/03/2025","276.49","258.20","284.25","197.73","1.26M","7.08%"
"02/02/2025","258.20","296.44","304.54","246.68","410.07K","-12.90%"
"02/01/2025","296.44","332.41","333.23","295.17","187.15K","-10.82%"
"01/31/2025","332.41","315.47","348.82","312.65","387.68K","5.37%"
"01/30/2025","315.47","290.96","321.73","287.19","212.04K","8.42%"
"01/29/2025","290.96","284.24","301.18","282.71","244.88K","2.24%"
"01/28/2025","284.58","304.97","307.56","281.17","210.11K","-6.68%"
"01/27/2025","304.94","316.21","320.00","289.46","360.03K","-3.56%"
"01/26/2025","316.21","326.34","336.26","316.21","124.35K","-3.10%"
"01/25/2025","326.34","334.95","338.34","326.18","122.89K","-2.57%"
"01/24/2025","334.95","337.52","356.96","328.09","269.99K","-0.76%"
"01/23/2025","337.52","346.47","350.41","324.92","304.74K","-2.58%"
"01/22/2025","346.47","370.91","372.17","345.62","259.32K","-6.59%"
"01/21/2025","370.91","345.85","377.88","333.29","750.38K","7.14%"
"01/20/2025","346.19","309.80","365.04","296.95","966.27K","11.74%"
"01/19/2025","309.80","315.52","348.01","293.14","626.04K","-1.81%"
"01/18/2025","315.52","335.15","341.38","306.52","258.53K","-5.86%"
"01/17/2025","335.15","311.00","336.56","311.00","189.89K","7.76%"
"01/16/2025","311.00","319.75","321.11","305.24","188.96K","-2.74%"
"01/15/2025","319.75","295.53","323.81","285.90","268.16K","8.20%"
