Date,Price,Open,High,Low,Vol.,Change %
10/22/2025,473.93,480.80,484.22,467.41,3.67M,-1.53%
10/21/2025,481.32,478.73,514.83,464.08,5.32M,0.54%
10/20/2025,478.75,472.78,486.09,467.01,3.20M,1.26%
10/19/2025,472.82,468.24,478.83,457.04,3.19M,0.98%
10/18/2025,468.24,469.88,479.56,462.54,867.90K,-0.35%
10/17/2025,469.87,504.86,510.29,445.27,7.73M,-6.93%
10/16/2025,504.86,522.21,529.54,501.52,3.53M,-3.32%
10/15/2025,522.21,537.73,545.77,517.69,2.64M,-2.92%
10/14/2025,537.93,546.42,547.06,508.03,5.88M,-1.55%
10/13/2025,546.42,540.35,549.19,533.51,3.05M,1.12%
10/12/2025,540.35,499.65,545.34,495.35,4.25M,8.15%
10/11/2025,499.65,513.17,539.41,477.85,7.25M,-2.76%
10/10/2025,513.81,580.06,600.23,464.44,13.68M,-11.42%
10/09/2025,580.06,583.72,593.81,568.78,3.54M,-0.63%
10/08/2025,583.72,576.34,587.98,573.36,2.07M,1.28%
10/07/2025,576.36,598.87,599.84,574.44,3.96M,-3.76%
10/06/2025,598.89,594.06,606.73,592.20,2.16M,0.81%
10/05/2025,594.06,589.99,611.42,587.46,3.89M,0.70%
10/04/2025,589.93,607.97,608.92,584.32,2.75M,-2.97%
10/03/2025,607.97,594.21,615.02,590.78,4.23M,2.32%
10/02/2025,594.21,592.37,597.24,581.71,4.55M,0.31%
10/01/2025,592.37,560.29,598.29,559.40,5.82M,5.73%
09/30/2025,560.29,560.84,562.80,549.26,2.04M,-0.10%
09/29/2025,560.84,556.51,562.89,549.81,4.33M,0.78%
09/28/2025,556.51,543.91,557.96,536.10,1.67M,2.32%
09/27/2025,543.91,548.20,548.20,539.90,909.56K,-0.78%
09/26/2025,548.2,536.05,550.96,534.41,3.04M,2.27%
09/25/2025,536.05,556.52,557.64,533.50,5.73M,-3.68%
09/24/2025,556.52,556.80,563.91,549.24,2.29M,-0.05%
09/23/2025,556.8,567.42,569.85,554.00,2.86M,-1.87%
09/22/2025,567.41,593.83,595.00,556.88,3.45M,-4.45%
