Date,Price,Open,High,Low,Vol.,Change %
10/22/2025,44.72,45.23,47.55,43.62,599.99K,-1.05%
10/21/2025,45.19,48.9,50.9,44.28,821.25K,-7.59%
10/20/2025,48.91,43.62,51.8,41.61,789.93K,12.12%
10/19/2025,43.62,42.6,45.63,41.82,413.02K,2.40%
10/18/2025,42.6,43.22,47.63,42.17,525.99K,-1.44%
10/17/2025,43.22,42.2,46.82,38.78,880.85K,2.41%
10/16/2025,42.2,45.59,49.91,41.87,690.54K,-7.42%
10/15/2025,45.59,45.21,52.91,44.41,865.87K,0.85%
10/14/2025,45.21,50.76,51.25,43.62,884.43K,-10.93%
10/13/2025,50.75,53.09,60.91,49.58,1.27M,-4.67%
10/12/2025,53.24,39.3,59.31,37.24,2.43M,34.47%
10/11/2025,39.59,37.84,43.56,33.7,1.39M,5.11%
10/10/2025,37.67,35.08,49.04,31.2,3.09M,7.21%
10/09/2025,35.13,33.12,36.18,30.13,983.68K,6.21%
10/08/2025,33.08,29.93,34.25,28.5,882.10K,10.51%
10/07/2025,29.93,34.49,34.56,29.79,396.83K,-13.20%
10/06/2025,34.49,35.35,35.9,34.23,398.97K,-2.55%
10/05/2025,35.39,34.34,36.9,33.56,823.19K,3.30%
10/04/2025,34.26,31.63,36.68,29.64,941.45K,8.47%
10/03/2025,31.58,32.8,35.81,31.42,927.10K,-3.39%
10/02/2025,32.69,31.09,38.94,29.64,2.20M,4.55%
10/01/2025,31.26,22.41,34.09,22.18,1.75M,39.57%
09/30/2025,22.4,22.64,22.98,21.98,134.88K,-1.22%
09/29/2025,22.68,21.26,22.92,21.25,291.06K,6.54%
09/28/2025,21.29,20.93,21.34,20.63,108.59K,1.81%
09/27/2025,20.91,20.66,21.19,20.53,109.87K,1.13%
09/26/2025,20.67,20.11,20.7,19.91,136.77K,2.90%
09/25/2025,20.09,21.13,21.17,19.93,221.13K,-5.05%
09/24/2025,21.16,21.08,21.76,20.71,144.80K,0.37%
09/23/2025,21.08,21.08,21.33,20.64,159.47K,0.00%
09/22/2025,21.08,22.92,23.01,20.25,277.45K,-8.13%
09/21/2025,22.94,23.26,23.35,22.84,94.29K,-1.41%
09/20/2025,23.27,23.18,23.6,23.01,71.77K,0.36%
09/19/2025,23.19,24.4,24.68,23.06,152.83K,-5.02%
