"Date","Price","Open","High","Low","Vol.","Change %"
"06/27/2025","0.4880","0.4949","0.5017","0.4858","4.10M","-1.41%"
"06/26/2025","0.4950","0.5089","0.5149","0.4881","1.86M","-2.73%"
"06/25/2025","0.5089","0.5107","0.5277","0.5001","1.64M","-0.35%"
"06/24/2025","0.5107","0.5137","0.5284","0.4995","764.30K","-0.60%"
"06/23/2025","0.5138","0.4753","0.5159","0.4704","1.19M","8.33%"
"06/22/2025","0.4743","0.4730","0.4819","0.4533","1.19M","0.27%"
"06/21/2025","0.4730","0.4997","0.5085","0.4580","671.41K","-5.34%"
"06/20/2025","0.4997","0.5095","0.5233","0.4900","699.56K","-1.92%"
"06/19/2025","0.5095","0.5114","0.5169","0.5013","1.39M","-0.37%"
"06/18/2025","0.5114","0.5038","0.5135","0.4886","1.52M","1.51%"
"06/17/2025","0.5038","0.5223","0.5347","0.4903","2.20M","-3.54%"
"06/16/2025","0.5223","0.5287","0.5490","0.5223","1.12M","-1.34%"
"06/15/2025","0.5294","0.5324","0.5389","0.5156","1.24M","-0.45%"
"06/14/2025","0.5318","0.5391","0.5456","0.5178","1.24M","-1.37%"
"06/13/2025","0.5392","0.5679","0.5719","0.5129","2.98M","-5.05%"
"06/12/2025","0.5679","0.6330","0.6350","0.5490","4.03M","-10.28%"
"06/11/2025","0.6330","0.5992","0.7046","0.5903","2.81M","5.15%"
"06/10/2025","0.6020","0.5968","0.6060","0.5755","1.55M","0.87%"
"06/09/2025","0.5968","0.5836","0.6010","0.5603","3.66M","2.26%"
"06/08/2025","0.5836","0.5898","0.5943","0.5700","406.10K","-1.05%"
"06/07/2025","0.5898","0.5860","0.6025","0.5836","238.14K","0.53%"
"06/06/2025","0.5867","0.7673","0.7700","0.5737","419.37K","-23.35%"
"06/05/2025","0.7654","0.7745","0.7745","0.7653","13.58M","-1.17%"
"06/04/2025","0.7745","0.7725","0.7760","0.7722","13.08M","0.32%"
"06/03/2025","0.7720","0.7687","0.7734","0.7683","13.37M","0.43%"
"06/02/2025","0.7687","0.7582","0.7691","0.7541","13.87M","1.38%"
"06/01/2025","0.7582","0.7415","0.7621","0.7406","15.07M","2.25%"
"05/31/2025","0.7415","0.7567","0.7578","0.7396","16.53M","-1.67%"
"05/30/2025","0.7540","0.7680","0.7762","0.7508","14.90M","-1.82%"
"05/29/2025","0.7680","0.7766","0.7797","0.7661","14.80M","-1.05%"
"05/28/2025","0.7762","0.7797","0.7803","0.7719","15.07M","-0.44%"
"05/27/2025","0.7796","0.7787","0.7797","0.7784","13.26M","0.14%"
"05/26/2025","0.7786","0.7661","0.7984","0.7561","13.61M","1.66%"
"05/25/2025","0.7658","0.7320","0.8108","0.7137","14.86M","4.59%"
