"Date","Price","Open","High","Low","Vol.","Change %"
"06/25/2025","16.2166","16.4229","16.5464","16.1981","2.39M","-1.26%"
"06/24/2025","16.4229","16.4238","16.5528","16.2063","2.59M","0.28%"
"06/23/2025","16.3768","15.1999","16.5005","15.0966","3.76M","7.80%"
"06/22/2025","15.1918","15.5778","15.7546","14.4727","8.68M","-2.37%"
"06/21/2025","15.5611","16.0991","16.2772","15.2164","3.01M","-3.34%"
"06/20/2025","16.0991","16.6973","16.9075","15.8191","4.13M","-3.58%"
"06/19/2025","16.6973","16.5335","16.7709","16.3838","3.63M","0.98%"
"06/18/2025","16.5349","16.4800","16.7005","16.0399","1.86M","0.39%"
"06/17/2025","16.4709","16.8607","17.1733","16.1866","2.36M","-2.57%"
"06/16/2025","16.9053","16.6668","17.5266","16.4786","2.26M","1.34%"
"06/15/2025","16.6825","16.6161","16.8000","16.3511","1.07M","0.35%"
"06/14/2025","16.6245","16.8846","16.8875","16.4626","1.51M","-1.62%"
"06/13/2025","16.8989","17.1098","17.1098","15.9847","7.26M","-1.22%"
"06/12/2025","17.1082","18.0961","18.1254","17.0188","3.11M","-5.43%"
"06/11/2025","18.0909","18.5703","18.7184","17.9510","4.58M","-2.54%"
"06/10/2025","18.5621","17.8697","18.6136","17.6151","3.21M","3.87%"
"06/09/2025","17.8697","16.9381","17.9361","16.6216","2.38M","5.50%"
"06/08/2025","16.9381","17.2163","17.2163","16.8383","1.51M","-1.65%"
"06/07/2025","17.2215","16.7046","17.3628","16.6596","1.40M","3.12%"
"06/06/2025","16.7006","16.2921","17.0033","16.2320","2.81M","2.51%"
"06/05/2025","16.2921","17.2403","17.4727","16.1481","2.55M","-5.59%"
"06/04/2025","17.2558","17.5603","17.9082","17.1459","2.20M","-1.73%"
"06/03/2025","17.5594","17.5562","17.8074","17.3938","2.71M","0.02%"
"06/02/2025","17.5562","17.0928","17.5862","16.7728","2.09M","2.71%"
"06/01/2025","17.0930","16.9411","17.1684","16.5917","2.24M","0.90%"
"05/31/2025","16.9411","16.9448","17.1106","16.4231","3.63M","0.05%"
"05/30/2025","16.9333","18.1210","18.2289","16.8681","7.16M","-6.55%"
"05/29/2025","18.1210","18.4552","19.1697","18.0535","4.51M","-1.75%"
"05/28/2025","18.4432","18.6281","18.8484","17.9863","4.28M","-0.99%"
"05/27/2025","18.6282","18.2352","18.9890","17.9323","5.07M","2.15%"
"05/26/2025","18.2361","18.3502","18.7246","18.0781","12.11M","-0.62%"
"05/25/2025","18.3502","18.4038","18.4617","17.8459","3.17M","-0.29%"
"05/24/2025","18.4038","18.4864","18.8199","18.3186","4.16M","-0.45%"
"05/23/2025","18.4864","19.6871","20.1536","18.4092","8.22M","-6.09%"
"05/22/2025","19.6853","18.9953","19.8922","18.9951","3.32M","3.63%"
"05/21/2025","18.9953","18.4175","19.2903","18.1994","5.74M","3.14%"
"05/20/2025","18.4175","18.5333","18.8165","17.8982","3.08M","-0.59%"
"05/19/2025","18.5276","18.7327","18.7756","17.3796","5.41M","-1.14%"
"05/18/2025","18.7416","18.1275","19.1101","17.5764","7.24M","3.39%"
"05/17/2025","18.1275","18.7018","18.7479","17.9062","7.33M","-3.08%"
"05/16/2025","18.7045","18.9594","19.4036","18.5619","8.08M","-1.19%"
"05/15/2025","18.9307","19.8801","20.0831","18.5435","9.18M","-4.78%"
"05/14/2025","19.8801","20.6638","20.9686","19.6733","4.31M","-3.79%"
"05/13/2025","20.6638","19.7654","20.9922","18.9562","6.06M","4.47%"
"05/12/2025","19.7802","19.9232","20.8399","19.1697","9.86M","-0.92%"
"05/11/2025","19.9640","20.6092","20.7522","19.5053","7.43M","-3.45%"
"05/10/2025","20.6775","19.2052","20.7689","18.9681","8.03M","7.65%"
"05/09/2025","19.2079","18.6256","19.7705","18.3841","8.47M","3.13%"
"05/08/2025","18.6241","16.1891","18.6780","16.1877","7.18M","15.04%"
"05/07/2025","16.1891","16.2142","16.4616","15.8265","4.00M","-0.13%"
"05/06/2025","16.2099","16.0025","16.2937","15.5848","2.23M","1.30%"
"05/05/2025","16.0025","16.0287","16.2183","15.7672","2.59M","0.00%"
"05/04/2025","16.0025","16.5930","16.7655","15.8890","2.47M","-3.56%"
"05/03/2025","16.5930","17.2005","17.2400","16.4328","1.81M","-3.53%"
"05/02/2025","17.2005","16.8814","17.3272","16.8714","2.18M","1.89%"
"05/01/2025","16.8814","16.5352","17.0833","16.4819","1.97M","2.23%"
"04/30/2025","16.5130","16.7292","16.8816","16.2206","1.65M","-1.29%"
"04/29/2025","16.7292","16.9894","17.5370","16.6416","4.27M","-1.59%"
"04/28/2025","17.0000","16.5304","17.0840","16.2563","3.04M","2.65%"
"04/27/2025","16.5610","17.0511","17.6616","16.5605","4.77M","-2.82%"
"04/26/2025","17.0417","17.2462","17.5265","16.8478","3.90M","-1.19%"
"04/25/2025","17.2475","16.7474","17.4086","16.5640","3.97M","2.93%"
"04/24/2025","16.7566","16.7758","16.8342","16.1580","3.11M","-0.11%"
"04/23/2025","16.7756","16.6628","17.0569","16.5437","5.78M","0.68%"
"04/22/2025","16.6628","15.6164","16.7731","15.3401","5.17M","6.70%"
"04/21/2025","15.6164","16.0548","16.3299","15.5202","5.03M","-2.73%"
