"Date","Price","Open","High","Low","Vol.","Change %"
"06/25/2025","2.24","2.30","2.31","2.24","12.51M","-2.47%"
"06/24/2025","2.30","2.24","2.35","2.22","14.81M","2.50%"
"06/23/2025","2.24","2.04","2.25","2.04","20.05M","9.94%"
"06/22/2025","2.04","2.19","2.21","1.98","33.76M","-6.80%"
"06/21/2025","2.19","2.25","2.30","2.16","14.53M","-2.89%"
"06/20/2025","2.25","2.35","2.38","2.20","16.99M","-4.18%"
"06/19/2025","2.35","2.39","2.41","2.33","7.86M","-1.81%"
"06/18/2025","2.39","2.39","2.41","2.34","15.87M","0.32%"
"06/17/2025","2.39","2.48","2.49","2.34","16.49M","-3.65%"
"06/16/2025","2.48","2.42","2.57","2.40","13.17M","2.51%"
"06/15/2025","2.42","2.42","2.44","2.37","7.55M","-0.34%"
"06/14/2025","2.42","2.44","2.45","2.38","8.37M","-0.75%"
"06/13/2025","2.44","2.51","2.51","2.35","35.17M","-2.70%"
"06/12/2025","2.51","2.69","2.70","2.50","14.89M","-6.69%"
"06/11/2025","2.69","2.73","2.77","2.67","14.41M","-1.35%"
"06/10/2025","2.73","2.60","2.75","2.57","18.08M","4.88%"
"06/09/2025","2.60","2.49","2.61","2.46","12.65M","4.53%"
"06/08/2025","2.49","2.51","2.54","2.47","10.89M","-0.90%"
"06/07/2025","2.51","2.41","2.53","2.41","7.53M","4.01%"
"06/06/2025","2.41","2.37","2.46","2.36","13.32M","1.96%"
"06/05/2025","2.37","2.57","2.59","2.35","23.19M","-7.82%"
"06/04/2025","2.57","2.63","2.67","2.55","10.07M","-2.49%"
"06/03/2025","2.63","2.64","2.69","2.61","13.59M","-0.25%"
"06/02/2025","2.64","2.57","2.64","2.51","12.61M","2.72%"
"06/01/2025","2.57","2.60","2.60","2.52","10.10M","-1.15%"
"05/31/2025","2.60","2.52","2.61","2.45","22.29M","3.49%"
"05/30/2025","2.51","2.76","2.77","2.50","38.55M","-8.97%"
"05/29/2025","2.76","2.86","2.92","2.75","19.09M","-3.35%"
"05/28/2025","2.86","2.88","2.90","2.76","18.79M","-0.94%"
"05/27/2025","2.88","2.79","2.92","2.75","20.40M","3.38%"
"05/26/2025","2.79","2.82","2.86","2.76","19.57M","-1.13%"
"05/25/2025","2.82","2.83","2.84","2.72","15.40M","-0.22%"
"05/24/2025","2.83","2.84","2.89","2.81","8.30M","-0.70%"
"05/23/2025","2.85","3.08","3.15","2.83","33.28M","-7.59%"
"05/22/2025","3.08","2.95","3.09","2.95","20.18M","4.50%"
"05/21/2025","2.95","2.86","3.00","2.81","25.23M","3.05%"
"05/20/2025","2.86","2.87","2.92","2.76","12.41M","0.00%"
"05/19/2025","2.86","2.91","2.93","2.73","20.87M","-1.96%"
"05/18/2025","2.92","2.79","2.99","2.73","25.27M","4.56%"
"05/17/2025","2.79","2.88","2.89","2.74","21.63M","-3.03%"
"05/16/2025","2.88","2.94","3.02","2.85","15.70M","-1.91%"
"05/15/2025","2.93","3.05","3.08","2.88","25.32M","-3.83%"
"05/14/2025","3.05","3.22","3.29","3.03","24.54M","-5.21%"
"05/13/2025","3.22","3.14","3.26","2.95","24.51M","2.47%"
"05/12/2025","3.14","3.14","3.30","3.00","29.01M","0.00%"
"05/11/2025","3.14","3.24","3.31","3.08","21.05M","-3.15%"
"05/10/2025","3.24","3.02","3.26","3.00","26.27M","7.28%"
"05/09/2025","3.02","2.94","3.09","2.93","27.52M","3.06%"
"05/08/2025","2.93","2.59","2.95","2.58","21.74M","13.22%"
"05/07/2025","2.59","2.59","2.62","2.53","12.15M","0.00%"
"05/06/2025","2.59","2.61","2.63","2.49","10.98M","-0.77%"
"05/05/2025","2.61","2.64","2.69","2.57","10.36M","-0.76%"
"05/04/2025","2.63","2.65","2.68","2.61","8.20M","-0.64%"
"05/03/2025","2.65","2.80","2.81","2.61","13.69M","-5.57%"
"05/02/2025","2.80","2.84","2.90","2.76","10.72M","-1.30%"
"05/01/2025","2.84","2.77","2.86","2.75","11.54M","2.64%"
"04/30/2025","2.77","2.74","2.81","2.68","11.44M","0.98%"
"04/29/2025","2.74","2.77","2.84","2.71","12.83M","-0.97%"
"04/28/2025","2.77","2.71","2.81","2.65","16.70M","2.21%"
"04/27/2025","2.71","2.86","2.89","2.67","18.38M","-5.36%"
"04/26/2025","2.86","2.86","2.93","2.81","13.72M","0.00%"
"04/25/2025","2.86","2.86","2.91","2.80","17.31M","0.00%"
"04/24/2025","2.86","2.79","2.86","2.66","19.41M","2.41%"
"04/23/2025","2.79","2.71","2.82","2.67","27.32M","2.94%"
"04/22/2025","2.71","2.61","2.72","2.48","27.98M","3.84%"
"04/21/2025","2.61","2.65","2.72","2.58","12.54M","-1.51%"
"04/20/2025","2.65","2.64","2.69","2.57","14.62M","0.49%"
"04/19/2025","2.64","2.45","2.66","2.45","11.66M","7.47%"
"04/18/2025","2.45","2.38","2.49","2.37","8.02M","3.10%"
"04/17/2025","2.38","2.39","2.42","2.32","9.36M","-0.31%"
"04/16/2025","2.39","2.42","2.44","2.35","11.96M","-1.23%"
"04/15/2025","2.42","2.53","2.54","2.40","11.01M","-4.35%"
"04/14/2025","2.53","2.49","2.60","2.49","18.31M","1.49%"
"04/13/2025","2.49","2.56","2.58","2.44","13.08M","-2.83%"
"04/12/2025","2.56","2.46","2.59","2.42","13.61M","4.28%"
"04/11/2025","2.46","2.35","2.47","2.33","13.97M","4.57%"
"04/10/2025","2.35","2.47","2.48","2.31","17.19M","-4.86%"
"04/09/2025","2.47","2.27","2.53","2.18","41.45M","8.83%"
"04/08/2025","2.27","2.37","2.42","2.24","21.53M","-4.24%"
"04/07/2025","2.37","2.38","2.46","2.12","133.67M","-0.42%"
"04/06/2025","2.38","2.70","2.71","2.33","38.41M","-11.85%"
"04/05/2025","2.70","2.77","2.78","2.66","14.58M","-2.38%"
"04/04/2025","2.77","2.73","3.34","2.69","112.60M","1.31%"
"04/03/2025","2.73","2.70","2.78","2.61","22.61M","1.07%"
"04/02/2025","2.70","2.84","2.90","2.65","44.45M","-4.89%"
"04/01/2025","2.84","2.78","2.94","2.78","15.14M","2.16%"
"03/31/2025","2.78","2.76","2.81","2.70","12.24M","0.95%"
"03/30/2025","2.75","2.75","2.80","2.71","8.42M","0.00%"
"03/29/2025","2.75","2.83","2.85","2.70","13.34M","-2.83%"
"03/28/2025","2.83","3.02","3.05","2.78","16.69M","-6.19%"
"03/27/2025","3.02","3.02","3.11","2.96","9.18M","-0.35%"
"03/26/2025","3.03","3.13","3.21","3.00","13.43M","-3.36%"
"03/25/2025","3.13","3.13","3.16","3.09","8.56M","0.00%"
"03/24/2025","3.13","3.03","3.20","3.00","15.27M","3.30%"
"03/23/2025","3.03","2.99","3.03","2.97","6.38M","1.42%"
"03/22/2025","2.99","2.92","3.06","2.91","9.60M","2.31%"
"03/21/2025","2.92","3.05","3.07","2.87","11.91M","-4.26%"
"03/20/2025","3.05","3.09","3.10","2.98","11.83M","-1.29%"
"03/19/2025","3.09","2.93","3.09","2.92","18.16M","5.58%"
"03/18/2025","2.93","3.02","3.03","2.82","20.02M","-3.10%"
"03/17/2025","3.02","2.84","3.08","2.84","18.32M","6.49%"
"03/16/2025","2.84","2.95","2.96","2.82","11.67M","-3.78%"
"03/15/2025","2.95","2.88","2.98","2.86","8.40M","2.23%"
"03/14/2025","2.88","2.75","2.92","2.74","14.30M","4.93%"
"03/13/2025","2.75","2.79","2.83","2.67","18.58M","-1.50%"
"03/12/2025","2.79","2.74","2.86","2.67","21.19M","1.85%"
"03/11/2025","2.74","2.64","2.81","2.44","34.60M","3.76%"
"03/10/2025","2.64","2.79","2.97","2.60","29.91M","-5.28%"
"03/09/2025","2.79","3.10","3.12","2.74","19.81M","-10.09%"
"03/08/2025","3.10","3.12","3.16","3.03","10.64M","-0.57%"
"03/07/2025","3.12","3.09","3.22","2.91","27.81M","0.90%"
"03/06/2025","3.09","3.14","3.20","3.04","16.17M","-1.53%"
"03/05/2025","3.14","3.02","3.18","2.98","18.58M","3.97%"
"03/04/2025","3.02","3.07","3.08","2.78","46.93M","-1.69%"
"03/03/2025","3.07","3.57","3.58","3.00","26.72M","-13.76%"
"03/02/2025","3.56","3.24","3.60","3.18","23.89M","9.88%"
"03/01/2025","3.24","3.25","3.30","3.14","8.69M","-0.29%"
"02/28/2025","3.25","3.26","3.32","3.00","27.03M","-0.42%"
"02/27/2025","3.26","3.15","3.34","3.13","14.16M","3.68%"
"02/26/2025","3.15","3.14","3.22","3.01","18.25M","0.22%"
"02/25/2025","3.14","3.01","3.18","2.81","35.29M","4.22%"
"02/24/2025","3.01","3.41","3.44","2.98","25.28M","-11.74%"
"02/23/2025","3.41","3.44","3.51","3.37","7.88M","-0.65%"
"02/22/2025","3.44","3.32","3.46","3.30","7.85M","3.52%"
"02/21/2025","3.32","3.49","3.60","3.25","18.70M","-5.04%"
"02/20/2025","3.50","3.33","3.52","3.31","12.75M","5.04%"
"02/19/2025","3.33","3.23","3.34","3.19","8.99M","3.07%"
"02/18/2025","3.23","3.43","3.44","3.14","17.53M","-5.79%"
"02/17/2025","3.43","3.40","3.51","3.31","11.10M","0.92%"
"02/16/2025","3.40","3.39","3.49","3.36","6.93M","-0.82%"
"02/13/2025","3.42","3.48","3.51","3.42","20.80M","-1.50%"
"02/12/2025","3.48","3.34","3.53","3.18","21.37M","4.20%"
"02/11/2025","3.34","3.43","3.54","3.27","11.48M","-2.64%"
"02/10/2025","3.43","3.31","3.47","3.19","14.60M","3.47%"
"02/09/2025","3.31","3.30","3.38","3.16","9.77M","0.17%"
"02/08/2025","3.31","3.19","3.33","3.15","8.79M","3.77%"
"02/07/2025","3.19","3.12","3.38","3.08","17.10M","2.22%"
"02/06/2025","3.12","3.24","3.35","3.09","17.81M","-3.91%"
"02/05/2025","3.24","3.34","3.38","3.20","14.55M","-3.02%"
"02/04/2025","3.34","3.51","3.52","3.12","31.35M","-4.59%"
"02/03/2025","3.51","3.60","3.60","2.65","91.18M","-2.53%"
"02/02/2025","3.60","4.38","4.46","3.33","42.89M","-17.81%"
"02/01/2025","4.38","4.81","4.87","4.33","9.86M","-8.94%"
"01/31/2025","4.81","4.80","4.96","4.68","12.59M","0.00%"
"01/30/2025","4.80","4.51","4.89","4.48","10.36M","6.38%"
"01/29/2025","4.51","4.38","4.64","4.37","11.63M","2.73%"
"01/28/2025","4.39","4.66","4.73","4.33","10.41M","-5.61%"
"01/27/2025","4.66","4.86","4.86","4.38","27.99M","-4.22%"
"01/26/2025","4.86","4.98","5.18","4.85","8.06M","-2.31%"
"01/25/2025","4.98","5.02","5.08","4.93","6.55M","-0.61%"
"01/24/2025","5.01","5.06","5.20","4.90","10.21M","-1.13%"
"01/23/2025","5.06","5.00","5.14","4.87","14.28M","1.36%"
"01/22/2025","5.00","5.26","5.31","4.97","10.49M","-4.95%"
"01/21/2025","5.26","5.01","5.35","4.89","16.31M","-0.21%"
"01/20/2025","5.27","4.98","5.46","4.83","49.74M","5.79%"
"01/19/2025","4.98","5.45","5.60","4.89","36.51M","-8.70%"
"01/18/2025","5.45","5.83","5.87","5.33","21.67M","-6.55%"
"01/17/2025","5.83","5.61","5.95","5.61","14.99M","4.07%"
"01/16/2025","5.61","5.65","5.79","5.39","20.86M","-0.84%"
"01/15/2025","5.65","5.21","5.67","5.11","18.15M","8.44%"
"01/14/2025","5.21","4.92","5.25","4.90","10.98M","5.89%"
"01/13/2025","4.92","5.09","5.23","4.65","24.09M","-3.17%"
"01/12/2025","5.09","5.20","5.24","5.02","6.33M","-2.25%"
"01/11/2025","5.20","5.21","5.31","5.10","6.50M","-0.18%"
"01/10/2025","5.21","5.05","5.25","5.02","14.49M","3.12%"
"01/09/2025","5.05","5.11","5.19","4.92","18.12M","-1.17%"
"01/08/2025","5.11","5.35","5.49","4.90","22.47M","-4.34%"
"01/07/2025","5.35","5.99","6.11","5.34","23.78M","-10.72%"
"01/06/2025","5.99","5.91","6.30","5.79","28.98M","1.25%"
"01/05/2025","5.91","5.64","5.97","5.51","12.98M","4.85%"
"01/04/2025","5.64","5.67","5.73","5.56","9.44M","-0.46%"
"01/03/2025","5.67","5.31","5.75","5.24","15.29M","6.62%"
"01/02/2025","5.31","5.12","5.36","5.12","12.63M","3.75%"
"01/01/2025","5.12","4.95","5.19","4.85","11.05M","3.41%"
"12/31/2024","4.95","4.92","5.13","4.81","11.06M","0.38%"
"12/30/2024","4.93","4.95","5.18","4.76","14.14M","-0.38%"
"12/29/2024","4.95","5.19","5.21","4.91","8.45M","-4.55%"
"12/28/2024","5.19","4.93","5.30","4.89","10.18M","5.25%"
"12/27/2024","4.93","4.98","5.20","4.89","11.83M","-0.94%"
"12/26/2024","4.98","5.29","5.36","4.91","12.57M","-6.01%"
"12/25/2024","5.30","5.46","5.50","5.23","10.62M","-3.05%"
"12/24/2024","5.46","5.19","5.57","5.04","16.83M","5.07%"
"12/23/2024","5.20","4.84","5.26","4.72","19.06M","7.50%"
"12/22/2024","4.84","4.91","5.06","4.69","16.84M","-1.60%"
"12/21/2024","4.91","5.21","5.48","4.85","22.79M","-5.70%"
"12/20/2024","5.21","5.08","5.32","4.40","45.48M","2.42%"
"12/19/2024","5.09","5.66","5.74","4.94","42.42M","-10.08%"
"12/18/2024","5.66","6.29","6.34","5.58","27.55M","-10.02%"
"12/17/2024","6.29","6.53","6.66","6.22","16.61M","-3.77%"
"12/16/2024","6.54","6.73","6.95","6.45","17.37M","-2.85%"
"12/15/2024","6.73","6.43","6.79","6.32","11.64M","4.46%"
"12/14/2024","6.44","6.75","6.85","6.27","11.99M","-4.65%"
"12/13/2024","6.75","6.73","6.85","6.52","14.26M","0.28%"
"12/12/2024","6.73","6.68","7.15","6.62","23.26M","0.77%"
"12/11/2024","6.68","6.20","6.79","5.95","22.03M","7.59%"
"12/10/2024","6.21","6.29","6.47","5.70","44.51M","-1.30%"
"12/09/2024","6.29","7.88","7.88","5.62","53.04M","-20.12%"
"12/08/2024","7.88","7.82","7.95","7.60","14.84M","0.62%"
"12/07/2024","7.83","8.07","8.09","7.71","15.85M","-3.10%"
"12/06/2024","8.08","7.70","8.28","7.62","28.22M","4.69%"
"12/05/2024","7.72","8.08","8.26","7.57","44.81M","-4.51%"
"12/04/2024","8.08","7.25","8.38","7.25","64.01M","11.51%"
"12/03/2024","7.25","7.28","7.62","6.74","50.37M","-0.37%"
"12/02/2024","7.28","6.87","7.48","6.63","59.98M","5.91%"
"12/01/2024","6.87","7.08","7.08","6.66","28.01M","-3.00%"
"11/30/2024","7.08","6.14","7.31","6.08","41.92M","15.27%"
"11/29/2024","6.14","5.81","6.17","5.63","22.05M","5.71%"
"11/28/2024","5.81","5.81","5.89","5.52","19.90M","0.00%"
"11/27/2024","5.81","5.44","5.84","5.30","23.52M","6.91%"
"11/26/2024","5.44","5.45","5.76","5.17","31.30M","-0.27%"
"11/25/2024","5.45","5.73","5.85","5.35","37.74M","-4.85%"
"11/24/2024","5.73","5.37","6.12","5.22","68.78M","6.63%"
"11/23/2024","5.37","4.93","5.62","4.84","54.85M","8.91%"
"11/22/2024","4.93","4.53","4.96","4.46","24.66M","8.79%"
"11/21/2024","4.53","4.24","4.66","4.08","24.66M","6.80%"
"11/20/2024","4.25","4.43","4.53","4.12","16.29M","-4.08%"
"11/19/2024","4.43","4.53","4.58","4.28","12.25M","-2.36%"
"11/18/2024","4.53","4.34","4.65","4.33","25.38M","4.38%"
"11/17/2024","4.34","4.75","4.86","4.26","31.41M","-8.46%"
"11/16/2024","4.74","4.20","4.82","4.15","30.55M","13.07%"
"11/15/2024","4.20","3.86","4.25","3.79","23.24M","8.81%"
"11/14/2024","3.86","4.07","4.21","3.80","19.35M","-5.35%"
"11/13/2024","4.07","4.22","4.29","3.86","34.68M","-3.55%"
"11/12/2024","4.22","4.41","4.64","4.11","44.17M","-4.13%"
"11/11/2024","4.41","4.27","4.41","4.12","37.15M","3.30%"
"11/10/2024","4.27","4.05","4.42","4.00","42.67M","5.22%"
"11/09/2024","4.05","3.92","4.07","3.79","11.59M","3.56%"
"11/08/2024","3.91","3.76","3.96","3.68","22.08M","3.93%"
"11/07/2024","3.77","3.71","3.83","3.67","11.34M","1.42%"
"11/06/2024","3.71","3.39","3.75","3.39","25.80M","9.39%"
"11/05/2024","3.39","3.27","3.43","3.27","7.02M","3.93%"
"11/04/2024","3.27","3.34","3.41","3.20","7.99M","-2.09%"
"11/03/2024","3.34","3.43","3.44","3.24","9.15M","-2.62%"
"11/02/2024","3.43","3.47","3.51","3.39","3.82M","-1.17%"
"11/01/2024","3.47","3.53","3.59","3.42","7.69M","-1.89%"
"10/31/2024","3.53","3.72","3.74","3.49","7.33M","-5.11%"
"10/30/2024","3.72","3.71","3.79","3.67","8.28M","0.46%"
"10/29/2024","3.71","3.63","3.74","3.61","8.36M","2.25%"
"10/28/2024","3.62","3.56","3.67","3.48","9.19M","1.69%"
"10/27/2024","3.56","3.47","3.60","3.45","4.31M","2.84%"
"10/26/2024","3.47","3.45","3.49","3.38","7.52M","0.64%"
"10/25/2024","3.44","3.73","3.75","3.31","12.43M","-7.86%"
"10/24/2024","3.74","3.70","3.77","3.65","4.90M","1.16%"
"10/23/2024","3.69","3.80","3.81","3.61","7.76M","-2.87%"
"10/22/2024","3.80","3.85","3.91","3.73","9.09M","-1.26%"
"10/21/2024","3.85","3.99","4.02","3.78","10.18M","-3.32%"
"10/20/2024","3.98","3.77","4.01","3.71","11.02M","5.80%"
"10/19/2024","3.77","3.78","3.82","3.70","4.12M","-0.22%"
"10/18/2024","3.77","3.65","3.78","3.62","6.37M","3.70%"
"10/17/2024","3.64","3.75","3.77","3.60","7.11M","-3.04%"
"10/16/2024","3.75","3.81","3.83","3.70","7.29M","-1.09%"
"10/15/2024","3.80","3.86","3.92","3.69","22.68M","-1.78%"
"10/14/2024","3.86","3.57","3.90","3.53","13.97M","8.35%"
"10/13/2024","3.57","3.61","3.63","3.48","6.26M","-1.27%"
"10/12/2024","3.61","3.58","3.66","3.57","6.21M","0.81%"
