Date,Price
2/28/2017,100
3/1/2017,102.71
3/2/2017,107.33
3/3/2017,107.27
3/6/2017,107.39
3/7/2017,104.28
3/8/2017,97.6
3/9/2017,101.15
3/10/2017,108.19
3/13/2017,103.97
3/14/2017,104.97
3/15/2017,104.87
3/16/2017,98.88
3/17/2017,94.13
3/20/2017,86.8
3/21/2017,93.1
3/22/2017,84.75
3/23/2017,87.22
3/24/2017,82.17
3/27/2017,85.34
3/28/2017,86.09
3/29/2017,87.1
3/30/2017,86.51
3/31/2017,91
4/3/2017,96.85
4/4/2017,96.03
4/5/2017,94.86
4/6/2017,99.36
4/7/2017,100.5
4/10/2017,101.38
4/11/2017,102.54
4/12/2017,101.98
4/13/2017,98.2
4/14/2017,99.05
4/17/2017,99.99
4/18/2017,100.88
4/19/2017,101.15
4/20/2017,103.38
4/21/2017,104.58
4/24/2017,105.39
4/25/2017,107.77
4/26/2017,109.54
4/27/2017,112.39
4/28/2017,110.73
5/1/2017,117.79
5/2/2017,121.87
5/3/2017,125.17
5/4/2017,130.53
5/5/2017,130.42
5/8/2017,138.47
5/9/2017,146.27
5/10/2017,148.7
5/11/2017,153.93
5/12/2017,141.25
5/15/2017,144.09
5/16/2017,148.3
5/17/2017,153.99
5/18/2017,157.54
5/19/2017,162.63
5/22/2017,178.31
5/23/2017,184.56
5/24/2017,204.1
5/25/2017,198.69
5/26/2017,192.91
5/29/2017,195.92
5/30/2017,187.87
5/31/2017,192.35
6/1/2017,200.29
6/2/2017,202.41
6/5/2017,222.22
6/6/2017,238.97
6/7/2017,232.32
6/8/2017,230.9
6/9/2017,238.12
6/12/2017,214.3
6/13/2017,227.72
6/14/2017,213.64
6/15/2017,194.23
6/16/2017,209.05
6/19/2017,211.09
6/20/2017,219.53
6/21/2017,201.14
6/22/2017,208.76
6/23/2017,210.9
6/26/2017,165.96
6/27/2017,178.23
6/28/2017,200.19
6/29/2017,197.63
6/30/2017,191.28
7/3/2017,191.23
7/4/2017,189.86
7/5/2017,192.58
7/6/2017,189.66
7/7/2017,181.94
7/10/2017,168.3
7/11/2017,156.3
7/12/2017,168.63
7/13/2017,160.53
7/14/2017,152.49
7/17/2017,144.54
7/18/2017,169.99
7/19/2017,153.51
7/20/2017,182.51
7/21/2017,179
7/24/2017,188.4
7/25/2017,167.78
7/26/2017,166.99
7/27/2017,171.79
7/28/2017,178.34
7/31/2017,184.25
8/1/2017,188.79
8/2/2017,182.49
8/3/2017,188.44
8/4/2017,189.4
8/7/2017,226.26
8/8/2017,236.67
8/9/2017,232.09
8/10/2017,238.33
8/11/2017,243.12
8/14/2017,275.57
8/15/2017,262.68
8/16/2017,278.43
8/17/2017,279.12
8/18/2017,268.81
8/21/2017,273.12
8/22/2017,272.93
8/23/2017,274.42
8/24/2017,281.08
8/25/2017,286.14
8/28/2017,291.71
8/29/2017,310.48
8/30/2017,312.48
8/31/2017,320.82
9/1/2017,328.67
9/4/2017,293.19
9/5/2017,292.05
9/6/2017,303.7
9/7/2017,302.22
9/8/2017,272.66
9/11/2017,272.79
9/12/2017,271.09
9/13/2017,249.01
9/14/2017,216.76
9/15/2017,240.53
9/18/2017,263.6
9/19/2017,256.32
9/20/2017,259.13
9/21/2017,236.45
9/22/2017,234.99
9/25/2017,259.86
9/26/2017,257.66
9/27/2017,274.81
9/28/2017,271.47
9/29/2017,270.33
10/2/2017,282.38
10/3/2017,274.81
10/4/2017,271.6
10/5/2017,280.3
10/6/2017,280.97
10/9/2017,299.66
10/10/2017,304.85
10/11/2017,304.11
10/12/2017,326.12
10/13/2017,344.76
10/16/2017,353.62
10/17/2017,345.89
10/18/2017,329.75
10/19/2017,342.17
10/20/2017,361.65
10/23/2017,349.65
10/24/2017,344.02
10/25/2017,340.38
10/26/2017,350.95
10/27/2017,344.6
10/30/2017,362.89
10/31/2017,375.44
11/1/2017,385
11/2/2017,400.65
11/3/2017,417.74
11/6/2017,408.72
11/7/2017,403.46
11/8/2017,420.82
