"Date","Price","Open","High","Low","Vol.","Change %"
"10/15/2025","0.1995","0.1995","0.1995","0.1995","2.86M","0.00%"
"10/14/2025","0.1995","0.2093","0.2100","0.1905","2.86M","-4.59%"
"10/13/2025","0.2091","0.1994","0.2187","0.1973","3.53M","4.55%"
"10/12/2025","0.2000","0.1855","0.2034","0.1818","2.95M","7.87%"
"10/11/2025","0.1854","0.1880","0.2006","0.1795","6.55M","1.81%"
"10/10/2025","0.1821","0.2354","0.2398","0.1500","5.52M","-22.64%"
"10/09/2025","0.2354","0.2409","0.2413","0.2326","1.99M","-2.24%"
"10/08/2025","0.2408","0.2367","0.2439","0.2346","1.57M","1.65%"
"10/07/2025","0.2369","0.2493","0.2510","0.2356","1.99M","-5.09%"
"10/06/2025","0.2496","0.2372","0.2528","0.2352","2.65M","5.18%"
"10/05/2025","0.2373","0.2359","0.2456","0.2354","1.44M","0.59%"
"10/04/2025","0.2359","0.2405","0.2412","0.2341","1.25M","-1.99%"
"10/03/2025","0.2407","0.2403","0.2451","0.2363","3.14M","0.17%"
"10/02/2025","0.2403","0.2386","0.2423","0.2333","2.21M","0.75%"
"10/01/2025","0.2385","0.2244","0.2385","0.2232","3.05M","6.43%"
"09/30/2025","0.2241","0.2258","0.2273","0.2198","2.37M","-0.80%"
"09/29/2025","0.2259","0.2281","0.2292","0.2235","1.86M","-0.96%"
"09/28/2025","0.2281","0.2227","0.2284","0.2203","1.50M","2.42%"
"09/27/2025","0.2227","0.2208","0.2244","0.2202","1.86M","0.86%"
"09/26/2025","0.2208","0.2163","0.2229","0.2140","4.42M","2.17%"
"09/25/2025","0.2161","0.2246","0.2250","0.2109","4.36M","-3.78%"
"09/24/2025","0.2246","0.2249","0.2287","0.2209","1.61M","-0.13%"
"09/23/2025","0.2249","0.2271","0.2301","0.2221","2.62M","-0.97%"
"09/22/2025","0.2271","0.2451","0.2458","0.2176","4.14M","-7.34%"
"09/21/2025","0.2451","0.2497","0.2519","0.2451","1.05M","-1.84%"
"09/20/2025","0.2497","0.2494","0.2537","0.2481","1.04M","0.08%"
"09/19/2025","0.2495","0.2606","0.2639","0.2475","2.18M","-4.26%"
"09/18/2025","0.2606","0.2619","0.2650","0.2582","3.01M","-0.38%"
"09/17/2025","0.2616","0.2569","0.2637","0.2501","5.05M","1.83%"
"09/16/2025","0.2569","0.2570","0.2605","0.2528","4.26M","-0.12%"
"09/15/2025","0.2572","0.2716","0.2735","0.2540","4.44M","-5.30%"
"09/14/2025","0.2716","0.2834","0.2837","0.2691","3.09M","-4.20%"
"09/13/2025","0.2835","0.2728","0.2873","0.2720","4.10M","4.00%"
"09/12/2025","0.2726","0.2721","0.2741","0.2674","3.21M","0.11%"
"09/11/2025","0.2723","0.2705","0.2746","0.2673","3.82M","0.70%"
"09/10/2025","0.2704","0.2690","0.2728","0.2650","5.73M","0.56%"
"09/09/2025","0.2689","0.2736","0.2814","0.2665","4.23M","-1.72%"
"09/08/2025","0.2736","0.2767","0.2804","0.2709","2.93M","-1.16%"
"09/07/2025","0.2768","0.2728","0.2818","0.2727","1.82M","1.35%"
"09/06/2025","0.2731","0.2778","0.2845","0.2720","4.30M","-1.73%"
"09/05/2025","0.2779","0.2796","0.2905","0.2758","3.87M","-0.64%"
"09/04/2025","0.2797","0.2825","0.2860","0.2710","3.30M","-0.96%"
"09/03/2025","0.2824","0.2885","0.2955","0.2803","7.69M","-2.22%"
"09/02/2025","0.2888","0.2712","0.2919","0.2690","6.66M","6.61%"
"09/01/2025","0.2709","0.2780","0.2847","0.2681","6.67M","-2.45%"
"08/31/2025","0.2777","0.2567","0.2944","0.2535","16.64M","8.18%"
"08/30/2025","0.2567","0.2407","0.2590","0.2365","4.02M","6.65%"
"08/29/2025","0.2407","0.2484","0.2625","0.2368","9.79M","-3.10%"
"08/28/2025","0.2484","0.2404","0.2484","0.2382","2.71M","3.46%"
"08/27/2025","0.2401","0.2441","0.2458","0.2385","1.99M","-1.56%"
"08/26/2025","0.2439","0.2328","0.2478","0.2305","1.76M","4.77%"
"08/25/2025","0.2328","0.2527","0.2538","0.2297","4.41M","-7.77%"
"08/24/2025","0.2524","0.2496","0.2630","0.2426","3.56M","1.20%"
"08/23/2025","0.2494","0.2532","0.2535","0.2441","2.03M","-1.50%"
"08/22/2025","0.2532","0.2357","0.2569","0.2307","4.34M","7.42%"
"08/21/2025","0.2357","0.2436","0.2465","0.2350","1.32M","-3.12%"
"08/20/2025","0.2433","0.2316","0.2462","0.2314","3.19M","5.23%"
"08/19/2025","0.2312","0.2589","0.2670","0.2312","5.71M","-10.60%"
"08/18/2025","0.2586","0.2466","0.2604","0.2391","7.33M","5.04%"
"08/17/2025","0.2462","0.2364","0.2553","0.2353","2.90M","4.06%"
"08/16/2025","0.2366","0.2335","0.2378","0.2314","1.64M","1.33%"
"08/15/2025","0.2335","0.2381","0.2426","0.2276","8.64M","-1.93%"
"08/14/2025","0.2381","0.2564","0.2607","0.2316","4.92M","-7.21%"
"08/13/2025","0.2566","0.2474","0.2574","0.2456","3.67M","3.76%"
"08/12/2025","0.2473","0.2362","0.2496","0.2308","4.67M","4.48%"
"08/11/2025","0.2367","0.2406","0.2473","0.2332","2.97M","-1.66%"
"08/10/2025","0.2407","0.2478","0.2510","0.2377","3.09M","-2.87%"
"08/09/2025","0.2478","0.2442","0.2518","0.2441","4.46M","1.56%"
"08/08/2025","0.2440","0.2364","0.2487","0.2326","6.00M","3.26%"
"08/07/2025","0.2363","0.2241","0.2397","0.2227","6.85M","5.44%"
"08/06/2025","0.2241","0.2129","0.2267","0.2066","5.98M","5.21%"
"08/05/2025","0.2130","0.2120","0.2261","0.2071","6.17M","0.61%"
"08/04/2025","0.2117","0.2020","0.2130","0.2002","4.51M","4.75%"
"08/03/2025","0.2021","0.1935","0.2030","0.1912","2.14M","4.44%"
"08/02/2025","0.1935","0.1969","0.2002","0.1901","2.62M","-1.83%"
"08/01/2025","0.1971","0.2051","0.2051","0.1928","11.67M","-3.76%"
"07/31/2025","0.2048","0.2164","0.2224","0.2043","4.89M","-5.36%"
"07/30/2025","0.2164","0.2216","0.2228","0.2079","4.72M","-2.30%"
"07/29/2025","0.2215","0.2260","0.2326","0.2176","4.30M","-2.03%"
"07/28/2025","0.2261","0.2400","0.2444","0.2249","4.19M","-5.75%"
"07/27/2025","0.2399","0.2353","0.2417","0.2349","2.06M","2.00%"
"07/26/2025","0.2352","0.2331","0.2402","0.2320","2.09M","0.81%"
"07/25/2025","0.2333","0.2288","0.2349","0.2235","2.77M","2.06%"
"07/24/2025","0.2286","0.2311","0.2375","0.2174","4.91M","-1.25%"
"07/23/2025","0.2315","0.2542","0.2546","0.2242","6.75M","-9.14%"
