"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2021","37.3600","37.4900","38.3800","36.8000","367.67K","-0.29%"
"11/30/2021","37.4700","38.4100","38.9400","37.3200","422.81K","-2.40%"
"11/29/2021","38.3900","38.0300","38.5700","37.0900","294.39K","0.92%"
"11/28/2021","38.0400","37.4600","38.0400","35.2700","354.79K","1.36%"
"11/27/2021","37.5300","37.1500","38.4600","37.0000","280.07K","1.08%"
"11/26/2021","37.1300","41.1700","41.2500","36.2900","702.69K","-9.70%"
"11/25/2021","41.1200","39.1900","41.5000","38.8400","410.87K","4.98%"
"11/24/2021","39.1700","40.2800","40.6600","38.2900","355.94K","-2.68%"
"11/23/2021","40.2500","40.2000","40.7200","39.3200","348.75K","0.05%"
"11/22/2021","40.2300","41.5900","41.8400","39.5500","412.33K","-3.46%"
"11/21/2021","41.6700","42.1000","42.7800","41.2900","305.83K","-0.97%"
"11/20/2021","42.0800","41.5100","42.3200","40.3400","313.56K","1.37%"
"11/19/2021","41.5100","39.8900","41.7400","39.2800","314.89K","4.19%"
"11/18/2021","39.8400","43.2800","43.6400","38.4900","534.55K","-7.88%"
"11/17/2021","43.2500","42.8100","43.4800","41.2400","410.98K","1.03%"
"11/16/2021","42.8100","47.0800","47.0800","40.7300","863.34K","-9.05%"
"11/15/2021","47.0700","48.5300","49.1700","47.0000","383.24K","-2.97%"
"11/14/2021","48.5100","49.0800","49.4900","47.1500","271.49K","-1.22%"
"11/13/2021","49.1100","47.3300","49.8100","46.6900","408.18K","3.74%"
"11/12/2021","47.3400","48.5100","48.9700","45.6800","504.27K","-2.59%"
"11/11/2021","48.6000","48.1900","50.0800","47.2100","589.29K","0.75%"
"11/10/2021","48.2400","52.5500","53.0900","45.3400","1.16M","-8.20%"
"11/09/2021","52.5500","50.6500","53.3700","50.0000","1.33M","3.96%"
"11/08/2021","50.5500","46.2900","50.8500","45.8000","1.08M","9.18%"
"11/07/2021","46.3000","45.0200","46.3500","44.6800","335.26K","2.91%"
"11/06/2021","44.9900","45.1500","45.6200","42.6600","382.70K","-0.29%"
"11/05/2021","45.1200","46.4000","46.4200","44.6800","318.51K","-2.76%"
"11/04/2021","46.4000","47.0200","47.9800","45.1000","498.19K","-1.21%"
"11/03/2021","46.9700","46.3900","47.5000","44.6600","665.83K","1.38%"
"11/02/2021","46.3300","45.2200","46.5900","44.8600","468.67K","2.57%"
"11/01/2021","45.1700","44.6900","47.8400","42.2600","914.85K","1.01%"
"10/31/2021","44.7200","42.5800","46.1800","42.3800","913.00K","5.00%"
"10/30/2021","42.5900","43.2800","43.3500","41.2600","349.68K","-1.41%"
"10/29/2021","43.2000","41.3300","43.2000","41.0500","327.90K","4.52%"
"10/28/2021","41.3300","39.2900","42.0000","39.1400","476.14K","5.33%"
"10/27/2021","39.2400","44.3700","45.2300","38.0100","953.88K","-11.54%"
"10/26/2021","44.3600","44.5600","45.3900","43.9600","416.31K","-0.43%"
"10/25/2021","44.5500","43.7500","44.9400","43.5200","300.89K","1.74%"
"10/24/2021","43.7900","44.7500","45.1400","42.7200","299.57K","-2.12%"
"10/23/2021","44.7400","44.4400","45.1700","43.7300","244.95K","0.77%"
"10/22/2021","44.4000","45.0000","45.9700","43.5700","376.10K","-1.20%"
"10/21/2021","44.9400","45.5100","47.3400","44.0800","551.29K","-1.23%"
"10/20/2021","45.5000","42.9400","45.9500","42.5500","541.37K","6.04%"
"10/19/2021","42.9100","42.9400","43.7300","42.4700","259.05K","-0.05%"
"10/18/2021","42.9300","43.2600","43.5900","42.0400","277.45K","-0.72%"
"10/17/2021","43.2400","44.4600","44.7800","41.6800","320.59K","-2.63%"
"10/16/2021","44.4100","44.7300","45.5700","44.0500","281.57K","-0.72%"
"10/15/2021","44.7300","44.9100","45.6500","43.3500","467.54K","-0.33%"
"10/14/2021","44.8800","44.8300","45.9500","44.3500","333.38K","0.11%"
"10/13/2021","44.8300","44.2500","44.9500","43.0100","373.86K","1.24%"
"10/12/2021","44.2800","45.1200","45.1200","41.9700","432.33K","-1.95%"
"10/11/2021","45.1600","45.3100","47.0300","43.9300","382.33K","-0.40%"
"10/10/2021","45.3400","48.6600","48.6600","45.1500","385.17K","-6.94%"
"10/09/2021","48.7200","46.8700","49.8700","46.2500","695.02K","4.50%"
"10/08/2021","46.6200","46.0400","47.9500","45.4000","498.10K","1.30%"
"10/07/2021","46.0200","46.3200","47.4000","44.9700","554.93K","-0.69%"
"10/06/2021","46.3400","46.8900","48.0900","43.5900","874.59K","-1.00%"
"10/05/2021","46.8100","43.0100","47.9500","42.8000","1.14M","8.81%"
"10/04/2021","43.0200","44.4700","44.9900","41.5500","490.34K","-3.15%"
"10/03/2021","44.4200","42.3200","45.9500","41.4600","765.73K","4.89%"
"10/02/2021","42.3500","42.3800","43.5600","41.6600","449.42K","-0.05%"
"10/01/2021","42.3700","39.2300","42.4400","38.9000","612.98K","7.92%"
"09/30/2021","39.2600","37.0800","39.3100","36.8800","445.18K","5.82%"
"09/29/2021","37.1000","35.9300","39.0200","35.6100","537.07K","3.31%"
"09/28/2021","35.9100","37.4200","38.1200","35.7500","378.21K","-4.06%"
"09/27/2021","37.4300","38.6200","39.9500","37.4300","383.27K","-3.48%"
"09/26/2021","38.7800","39.0100","39.7700","35.8800","631.09K","-0.59%"
"09/25/2021","39.0100","39.7700","40.4700","38.1200","428.86K","-1.86%"
"09/24/2021","39.7500","43.9000","44.0900","37.8100","752.13K","-9.45%"
"09/23/2021","43.9000","42.9400","44.2700","41.7500","495.79K","2.12%"
"09/22/2021","42.9900","37.5400","43.2900","36.6100","657.62K","14.92%"
"09/21/2021","37.4100","41.5500","42.1800","36.7600","845.32K","-9.72%"
"09/20/2021","41.4400","48.1700","48.2300","40.9000","893.50K","-13.95%"
"09/19/2021","48.1600","49.6500","50.4100","47.3900","373.31K","-3.06%"
"09/18/2021","49.6800","48.7900","50.7500","48.1000","451.78K","2.05%"
