"Date","Price","Open","High","Low","Vol.","Change %"
"07/20/2025","0.028633","0.027821","0.028762","0.027600","629.30M","2.95%"
"07/19/2025","0.027813","0.027060","0.028027","0.026341","605.97M","2.80%"
"07/18/2025","0.027055","0.026397","0.029181","0.026180","1.44B","2.49%"
"07/17/2025","0.026397","0.025565","0.026770","0.024858","855.80M","3.24%"
"07/16/2025","0.025568","0.025199","0.026231","0.024712","789.53M","1.47%"
"07/15/2025","0.025199","0.024327","0.025201","0.023444","734.48M","3.57%"
"07/14/2025","0.024329","0.024654","0.025754","0.023999","750.41M","-1.32%"
"07/13/2025","0.024654","0.023622","0.025216","0.023543","621.61M","4.38%"
"07/12/2025","0.023620","0.024018","0.024647","0.023122","522.10M","-1.66%"
"07/11/2025","0.024018","0.024057","0.025521","0.023680","1.01B","-0.16%"
"07/10/2025","0.024056","0.022402","0.024247","0.022212","631.09M","7.35%"
"07/09/2025","0.022408","0.020902","0.022540","0.020723","518.42M","7.19%"
"07/08/2025","0.020904","0.020428","0.020937","0.020160","307.21M","2.31%"
"07/07/2025","0.020431","0.020857","0.021122","0.020188","325.30M","-2.02%"
"07/06/2025","0.020853","0.020709","0.021176","0.020382","268.26M","0.69%"
"07/05/2025","0.020709","0.020809","0.021033","0.020409","196.16M","-0.48%"
"07/04/2025","0.020809","0.021973","0.022137","0.020623","316.69M","-5.30%"
"07/03/2025","0.021973","0.021816","0.022412","0.021691","372.69M","0.73%"
"07/02/2025","0.021814","0.020330","0.022203","0.020093","426.20M","7.30%"
"07/01/2025","0.020330","0.021244","0.021371","0.020139","368.62M","-4.30%"
"06/30/2025","0.021244","0.021800","0.021856","0.020837","344.47M","-2.55%"
"06/29/2025","0.021800","0.021225","0.021985","0.020772","274.89M","2.71%"
"06/28/2025","0.021225","0.020441","0.021402","0.020331","252.09M","3.84%"
"06/27/2025","0.020441","0.020355","0.020670","0.020075","341.77M","0.42%"
"06/26/2025","0.020355","0.021026","0.021580","0.020326","400.28M","-3.19%"
"06/25/2025","0.021026","0.021581","0.021652","0.020911","321.12M","-2.57%"
"06/24/2025","0.021580","0.021462","0.021980","0.021224","491.04M","0.57%"
"06/23/2025","0.021458","0.019307","0.021513","0.019149","624.07M","11.14%"
"06/22/2025","0.019308","0.020018","0.020193","0.018234","619.45M","-3.53%"
"06/21/2025","0.020015","0.020846","0.021287","0.019480","393.68M","-3.99%"
"06/20/2025","0.020847","0.021703","0.022075","0.020545","400.74M","-3.94%"
"06/19/2025","0.021703","0.021795","0.021993","0.021243","252.82M","-0.43%"
"06/18/2025","0.021796","0.021433","0.021966","0.020880","297.14M","1.73%"
"06/17/2025","0.021425","0.022202","0.022593","0.021081","405.95M","-3.48%"
"06/16/2025","0.022197","0.022260","0.023290","0.022002","320.66M","-0.28%"
"06/15/2025","0.022260","0.022058","0.022468","0.021862","222.51M","0.95%"
"06/14/2025","0.022050","0.022605","0.022610","0.021657","238.46M","-2.45%"
"06/13/2025","0.022605","0.023429","0.023429","0.021822","742.35M","-3.50%"
"06/12/2025","0.023424","0.024983","0.025061","0.023338","450.64M","-6.26%"
"06/11/2025","0.024988","0.026268","0.026277","0.024693","605.14M","-4.87%"
"06/10/2025","0.026267","0.025209","0.026267","0.024723","655.64M","4.20%"
"06/09/2025","0.025208","0.024100","0.025252","0.023607","451.44M","4.59%"
"06/08/2025","0.024100","0.024090","0.024518","0.023749","308.22M","0.04%"
"06/07/2025","0.024090","0.023506","0.024486","0.023439","285.04M","2.50%"
"06/06/2025","0.023503","0.022619","0.023992","0.022557","530.20M","3.90%"
"06/05/2025","0.022621","0.023723","0.024356","0.022275","702.12M","-4.65%"
"06/04/2025","0.023723","0.024651","0.025098","0.023599","348.42M","-3.74%"
"06/03/2025","0.024646","0.024837","0.025429","0.024472","442.58M","-0.72%"
"06/02/2025","0.024824","0.024322","0.024871","0.023806","326.24M","2.06%"
"06/01/2025","0.024323","0.024158","0.024429","0.023592","294.58M","0.69%"
"05/31/2025","0.024157","0.023934","0.024462","0.023181","510.41M","0.96%"
"05/30/2025","0.023929","0.026001","0.026162","0.023737","772.76M","-7.98%"
"05/29/2025","0.026003","0.027193","0.027654","0.025927","544.35M","-4.40%"
"05/28/2025","0.027199","0.027578","0.028185","0.026392","498.87M","-1.38%"
"05/27/2025","0.027578","0.027479","0.028624","0.026798","492.08M","0.39%"
"05/26/2025","0.027472","0.027374","0.028225","0.027208","457.20M","0.37%"
"05/25/2025","0.027371","0.027459","0.027572","0.026187","455.66M","-0.31%"
"05/24/2025","0.027457","0.027968","0.028376","0.027265","430.37M","-1.82%"
"05/23/2025","0.027967","0.030669","0.031376","0.027802","887.79M","-8.79%"
"05/22/2025","0.030663","0.029150","0.030683","0.029142","550.23M","5.21%"
"05/21/2025","0.029144","0.028510","0.029683","0.027965","596.36M","2.23%"
"05/20/2025","0.028509","0.028042","0.028923","0.027276","538.69M","1.65%"
"05/19/2025","0.028046","0.029025","0.029158","0.026751","483.39M","-3.39%"
"05/18/2025","0.029030","0.027692","0.029470","0.027208","529.33M","4.85%"
"05/17/2025","0.027687","0.028536","0.028631","0.027275","460.61M","-2.97%"
"05/16/2025","0.028534","0.028783","0.029931","0.028314","460.86M","-0.93%"
"05/15/2025","0.028801","0.030313","0.030821","0.028009","768.01M","-4.98%"
"05/14/2025","0.030308","0.031893","0.032936","0.030098","685.55M","-4.96%"
"05/13/2025","0.031891","0.030894","0.032419","0.029283","777.57M","3.24%"
"05/12/2025","0.030889","0.031196","0.033960","0.029984","1.15B","-0.97%"
"05/11/2025","0.031193","0.032273","0.032533","0.030163","648.57M","-3.35%"
"05/10/2025","0.032273","0.030021","0.032316","0.029766","754.90M","7.50%"
"05/09/2025","0.030021","0.028684","0.030283","0.028510","964.53M","4.62%"
"05/08/2025","0.028694","0.024869","0.028699","0.024793","800.30M","15.38%"
"05/07/2025","0.024870","0.024866","0.025419","0.024300","504.42M","0.04%"
"05/06/2025","0.024860","0.025026","0.025226","0.023953","463.14M","-0.67%"
"05/05/2025","0.025028","0.025032","0.025595","0.024560","260.42M","-0.03%"
"05/04/2025","0.025034","0.026094","0.026258","0.024885","233.90M","-4.04%"
"05/03/2025","0.026087","0.027431","0.027509","0.025825","236.41M","-4.85%"
"05/02/2025","0.027417","0.027207","0.027862","0.026869","305.13M","0.77%"
"05/01/2025","0.027208","0.026232","0.027496","0.026227","270.43M","3.72%"
"04/30/2025","0.026233","0.026742","0.027123","0.025653","324.20M","-1.96%"
"04/29/2025","0.026757","0.027329","0.028393","0.026460","572.86M","-2.09%"
"04/28/2025","0.027328","0.026431","0.027975","0.025705","558.86M","3.39%"
"04/27/2025","0.026433","0.027211","0.027727","0.026276","488.14M","-2.86%"
"04/26/2025","0.027211","0.027015","0.027940","0.026692","507.13M","0.69%"
"04/25/2025","0.027024","0.026713","0.027294","0.026379","554.97M","1.16%"
"04/24/2025","0.026714","0.026100","0.026954","0.024855","618.38M","2.34%"
"04/23/2025","0.026103","0.025477","0.026496","0.025255","640.20M","2.48%"
"04/22/2025","0.025471","0.023506","0.025518","0.023104","614.89M","8.36%"
"04/21/2025","0.023506","0.023629","0.024647","0.023401","442.83M","-0.52%"
"04/20/2025","0.023629","0.023522","0.023889","0.022946","321.49M","0.46%"
"04/19/2025","0.023522","0.023177","0.023649","0.023099","303.03M","1.49%"
"04/18/2025","0.023177","0.022771","0.023524","0.022510","359.22M","1.78%"
"04/17/2025","0.022771","0.022121","0.023122","0.021998","435.58M","2.94%"
"04/16/2025","0.022121","0.022561","0.022785","0.021781","691.59M","-1.95%"
"04/15/2025","0.022561","0.023387","0.024303","0.022428","1.04B","-3.46%"
"04/14/2025","0.023369","0.022703","0.024651","0.022384","1.34B","2.98%"
"04/13/2025","0.022692","0.023416","0.024092","0.022437","824.96M","-3.09%"
"04/12/2025","0.023416","0.022114","0.023484","0.021866","760.23M","5.88%"
"04/11/2025","0.022114","0.021213","0.022436","0.021177","757.50M","4.25%"
"04/10/2025","0.021213","0.022168","0.022252","0.020676","823.77M","-4.31%"
"04/09/2025","0.022168","0.019739","0.022762","0.018987","971.68M","12.31%"
"04/08/2025","0.019739","0.020281","0.021239","0.019533","693.52M","-2.67%"
"04/07/2025","0.020281","0.019736","0.020937","0.017780","1.37B","2.77%"
"04/06/2025","0.019734","0.021779","0.022061","0.019319","702.50M","-9.39%"
"04/05/2025","0.021779","0.022077","0.022264","0.021511","354.85M","-1.35%"
"04/04/2025","0.022077","0.021760","0.022509","0.021309","423.91M","1.54%"
"04/03/2025","0.021743","0.021519","0.022300","0.020758","579.90M","0.70%"
"04/02/2025","0.021591","0.023420","0.023921","0.021318","798.30M","-7.81%"
"04/01/2025","0.023420","0.022436","0.023740","0.022321","561.66M","4.40%"
"03/31/2025","0.022433","0.022742","0.022999","0.021949","727.93M","-1.33%"
"03/30/2025","0.022737","0.022807","0.023441","0.022381","506.05M","-0.30%"
"03/29/2025","0.022806","0.024133","0.024215","0.022400","528.24M","-5.49%"
"03/28/2025","0.024131","0.026174","0.026327","0.023794","876.27M","-7.78%"
"03/27/2025","0.026167","0.026364","0.026774","0.025635","770.35M","-0.70%"
"03/26/2025","0.026352","0.026638","0.027590","0.026020","653.13M","-1.05%"
"03/25/2025","0.026632","0.026283","0.026927","0.025867","575.91M","1.32%"
"03/24/2025","0.026285","0.025097","0.026916","0.024780","1.03B","4.73%"
"03/23/2025","0.025097","0.025314","0.025571","0.024741","1.07B","-0.86%"
"03/22/2025","0.025314","0.025182","0.025902","0.024951","485.06M","0.48%"
"03/21/2025","0.025195","0.026095","0.026365","0.025115","637.21M","-3.41%"
"03/20/2025","0.026085","0.027150","0.027219","0.025595","669.05M","-3.92%"
"03/19/2025","0.027150","0.025288","0.027158","0.025288","1.11B","7.37%"
"03/18/2025","0.025286","0.025316","0.025316","0.024010","735.16M","-0.10%"
"03/17/2025","0.025312","0.024240","0.025873","0.024240","718.71M","4.40%"
"03/16/2025","0.024246","0.025327","0.025344","0.023905","572.52M","-4.25%"
"03/15/2025","0.025321","0.024645","0.025511","0.024533","508.66M","2.60%"
"03/14/2025","0.024679","0.023749","0.025109","0.023668","730.31M","4.09%"
"03/13/2025","0.023709","0.024312","0.024588","0.022962","1.43B","-2.58%"
"03/12/2025","0.024336","0.023955","0.025131","0.023052","904.77M","1.63%"
"03/11/2025","0.023946","0.022663","0.024619","0.021295","1.25B","5.85%"
"03/10/2025","0.022624","0.024685","0.025990","0.022447","1.26B","-8.25%"
"03/09/2025","0.024659","0.027139","0.027407","0.024438","773.27M","-9.14%"
"03/08/2025","0.027139","0.027826","0.028188","0.026990","528.76M","-2.24%"
"03/07/2025","0.027761","0.028000","0.030213","0.026511","930.01M","-0.85%"
"03/06/2025","0.028000","0.028940","0.029800","0.027450","356.08M","-3.18%"
"03/05/2025","0.028920","0.027150","0.029411","0.026960","514.29M","6.56%"
"03/04/2025","0.027140","0.026770","0.027600","0.024739","875.04M","0.74%"
"03/03/2025","0.026940","0.032170","0.033391","0.026720","897.05M","-16.26%"
"03/02/2025","0.032170","0.028450","0.032958","0.027880","878.98M","13.04%"
"03/01/2025","0.028460","0.028041","0.028900","0.027230","341.37M","1.49%"
"02/28/2025","0.028041","0.028195","0.028473","0.025472","619.01M","-0.54%"
"02/27/2025","0.028195","0.028010","0.029381","0.027406","362.01M","0.66%"
"02/26/2025","0.028010","0.028670","0.029180","0.027119","480.45M","-2.30%"
"02/25/2025","0.028670","0.028051","0.029160","0.025883","850.30M","2.21%"
"02/24/2025","0.028050","0.032200","0.032500","0.027810","495.06M","-12.89%"
"02/23/2025","0.032200","0.032449","0.032591","0.031520","233.14M","-0.77%"
"02/22/2025","0.032449","0.031160","0.032730","0.031000","226.24M","4.14%"
"02/21/2025","0.031160","0.032790","0.034280","0.030611","477.23M","-4.97%"
"02/20/2025","0.032790","0.031829","0.033090","0.031669","275.92M","3.02%"
"02/19/2025","0.031829","0.031670","0.032479","0.031090","269.30M","0.53%"
"02/18/2025","0.031660","0.032900","0.033270","0.030529","365.17M","-3.77%"
"02/17/2025","0.032900","0.033129","0.034490","0.032299","336.31M","-0.69%"
"02/16/2025","0.033129","0.034040","0.034209","0.032959","237.27M","-2.68%"
"02/15/2025","0.034040","0.035240","0.035790","0.033739","247.03M","-3.41%"
"02/14/2025","0.035240","0.034401","0.036470","0.034240","406.69M","2.44%"
"02/13/2025","0.034400","0.035460","0.035900","0.033690","411.65M","-3.04%"
"02/12/2025","0.035480","0.033180","0.035901","0.031889","550.19M","6.93%"
"02/11/2025","0.033180","0.033680","0.035710","0.032760","466.90M","-1.48%"
"02/10/2025","0.033680","0.031949","0.033940","0.030880","468.52M","5.42%"
"02/09/2025","0.031949","0.032960","0.033811","0.030560","453.06M","-3.07%"
"02/08/2025","0.032960","0.032460","0.033220","0.031900","426.90M","1.54%"
"02/07/2025","0.032460","0.032670","0.035310","0.031550","594.09M","-0.64%"
"02/06/2025","0.032670","0.034510","0.035880","0.032260","536.48M","-5.33%"
"02/05/2025","0.034510","0.035989","0.036520","0.034140","580.33M","-4.11%"
"02/04/2025","0.035990","0.039059","0.039971","0.034730","980.79M","-7.86%"
"02/03/2025","0.039060","0.037749","0.039640","0.027860","2.52B","3.47%"
"02/02/2025","0.037750","0.043449","0.044331","0.036190","1.21B","-13.12%"
"02/01/2025","0.043449","0.046630","0.048430","0.043150","604.38M","-6.82%"
"01/31/2025","0.046630","0.046410","0.048890","0.045190","645.18M","0.47%"
"01/30/2025","0.046410","0.043250","0.048140","0.042920","595.37M","7.31%"
"01/29/2025","0.043250","0.042370","0.044951","0.041510","546.02M","2.08%"
"01/28/2025","0.042370","0.044680","0.045750","0.041909","466.63M","-5.17%"
"01/27/2025","0.044680","0.045230","0.045480","0.041817","780.27M","-1.22%"
"01/26/2025","0.045230","0.047580","0.048520","0.045230","472.86M","-4.94%"
"01/25/2025","0.047580","0.047660","0.048940","0.047090","451.20M","-0.17%"
"01/24/2025","0.047660","0.048930","0.049920","0.046650","520.30M","-2.60%"
"01/23/2025","0.048930","0.047810","0.050391","0.046530","770.72M","2.34%"
"01/22/2025","0.047810","0.049170","0.052860","0.047520","1.07B","-2.77%"
"01/21/2025","0.049170","0.046020","0.052257","0.043880","1.87B","6.84%"
"01/20/2025","0.046020","0.045371","0.051570","0.043870","1.16B","1.43%"
"01/19/2025","0.045371","0.051680","0.054251","0.044700","1.27B","-12.21%"
"01/18/2025","0.051680","0.056080","0.056690","0.050410","771.93M","-7.85%"
"01/17/2025","0.056080","0.051149","0.057771","0.051149","1.13B","9.64%"
"01/16/2025","0.051150","0.049000","0.052790","0.047200","904.95M","4.39%"
"01/15/2025","0.049000","0.045141","0.049060","0.044580","663.21M","8.55%"
"01/14/2025","0.045141","0.043190","0.045380","0.042780","411.73M","4.52%"
"01/13/2025","0.043190","0.044670","0.046920","0.040590","669.40M","-3.31%"
"01/12/2025","0.044670","0.045290","0.045920","0.043870","288.80M","-1.28%"
"01/11/2025","0.045250","0.045210","0.046510","0.043880","323.34M","0.09%"
"01/10/2025","0.045210","0.044431","0.046770","0.043810","504.37M","1.75%"
"01/09/2025","0.044431","0.044950","0.046091","0.043200","492.82M","-1.16%"
"01/08/2025","0.044950","0.046790","0.047681","0.042810","594.89M","-3.93%"
"01/07/2025","0.046790","0.052740","0.052740","0.046790","679.58M","-11.28%"
"01/06/2025","0.052740","0.050980","0.054320","0.049680","499.71M","3.45%"
"01/05/2025","0.050980","0.050960","0.051800","0.049470","390.89M","0.12%"
"01/04/2025","0.050920","0.052730","0.053100","0.050210","423.28M","-3.43%"
"01/03/2025","0.052730","0.048300","0.053240","0.047670","700.38M","9.17%"
"01/02/2025","0.048300","0.046620","0.049300","0.046620","571.35M","3.60%"
"01/01/2025","0.046620","0.043160","0.047390","0.042280","471.23M","8.02%"
"12/31/2024","0.043160","0.043890","0.045520","0.042360","418.72M","-1.66%"
"12/30/2024","0.043890","0.045100","0.046629","0.042630","458.03M","-2.68%"
"12/29/2024","0.045100","0.047630","0.048060","0.044730","305.67M","-5.31%"
"12/28/2024","0.047630","0.045750","0.048320","0.045250","334.30M","4.11%"
"12/27/2024","0.045750","0.046710","0.048720","0.045370","528.88M","-2.06%"
"12/26/2024","0.046710","0.051300","0.051890","0.046120","516.57M","-8.95%"
"12/25/2024","0.051300","0.052880","0.053780","0.050770","526.27M","-2.99%"
"12/24/2024","0.052880","0.048760","0.054180","0.046790","836.88M","8.45%"
"12/23/2024","0.048760","0.045910","0.049530","0.044310","751.24M","6.21%"
"12/22/2024","0.045910","0.045100","0.047420","0.044100","714.99M","1.80%"
"12/21/2024","0.045100","0.048110","0.050920","0.044520","734.54M","-6.26%"
"12/20/2024","0.048110","0.044950","0.048530","0.038450","1.82B","7.03%"
