"Date","Price","Open","High","Low","Vol.","Change %"
"06/25/2025","313.121","314.624","322.157","312.654","3.91K","-0.48%"
"06/24/2025","314.624","312.140","319.663","305.561","8.79K","0.97%"
"06/23/2025","311.590","298.467","312.566","291.991","7.31K","4.40%"
"06/22/2025","298.467","308.733","313.858","288.923","9.82K","-3.33%"
"06/21/2025","308.733","310.609","317.606","305.669","2.91K","-0.60%"
"06/20/2025","310.609","310.745","318.994","303.796","5.09K","-0.04%"
"06/19/2025","310.745","316.199","323.531","302.027","12.77K","-1.64%"
"06/18/2025","315.928","319.680","333.966","314.241","10.02K","-1.17%"
"06/17/2025","319.680","321.729","330.050","316.827","4.83K","-0.67%"
"06/16/2025","321.839","314.500","332.009","313.824","5.69K","2.33%"
"06/15/2025","314.500","312.430","319.066","310.876","2.69K","0.67%"
"06/14/2025","312.422","312.888","318.605","306.837","3.24K","0.00%"
"06/13/2025","312.437","318.442","322.854","299.966","8.42K","-1.97%"
"06/12/2025","318.722","330.789","331.956","314.936","6.21K","-3.55%"
"06/11/2025","330.469","338.545","345.444","325.213","5.84K","-2.33%"
"06/10/2025","338.361","333.072","342.257","328.516","5.01K","1.54%"
"06/09/2025","333.214","326.983","335.555","324.319","5.02K","1.97%"
"06/08/2025","326.786","327.796","336.567","323.997","3.92K","-0.35%"
"06/07/2025","327.937","323.047","330.346","320.053","2.96K","1.68%"
"06/06/2025","322.522","317.100","339.494","314.517","7.04K","1.81%"
"06/05/2025","316.802","314.117","338.907","309.750","12.12K","1.21%"
"06/04/2025","313.004","344.317","352.829","301.713","11.16K","-9.09%"
"06/03/2025","344.317","358.593","370.911","341.502","8.04K","-3.98%"
"06/02/2025","358.593","348.011","368.726","341.347","12.48K","3.02%"
"06/01/2025","348.075","325.311","350.182","320.636","8.78K","7.07%"
"05/31/2025","325.098","325.465","331.048","313.622","18.31K","-0.11%"
"05/30/2025","325.457","338.762","341.582","325.323","12.89K","-3.91%"
"05/29/2025","338.682","346.817","351.522","333.504","15.51K","-2.35%"
"05/28/2025","346.817","372.041","372.041","322.042","26.17K","-6.78%"
"05/27/2025","372.041","402.066","404.548","370.004","15.82K","-7.47%"
"05/26/2025","402.070","417.938","419.979","392.009","13.29K","-3.80%"
