"Date","Price","Open","High","Low","Vol.","Change %"
"06/28/2025","0.5250","0.5282","0.5284","0.5226","3.20M","-0.59%"
"06/27/2025","0.5282","0.5232","0.5366","0.5201","3.97M","0.99%"
"06/26/2025","0.5230","0.5274","0.5394","0.5170","3.72M","-0.86%"
"06/25/2025","0.5275","0.5361","0.5434","0.5233","5.44M","-1.61%"
"06/24/2025","0.5361","0.5329","0.5410","0.5280","7.88M","0.61%"
"06/23/2025","0.5329","0.4954","0.5344","0.4887","9.13M","7.55%"
"06/22/2025","0.4955","0.5053","0.5085","0.4728","9.96M","-1.94%"
"06/21/2025","0.5053","0.5162","0.5251","0.4920","4.91M","-2.09%"
"06/20/2025","0.5161","0.5322","0.5387","0.5053","6.22M","-3.05%"
"06/19/2025","0.5323","0.5368","0.5423","0.5244","3.93M","-0.85%"
"06/18/2025","0.5368","0.5391","0.5458","0.5214","5.38M","-0.42%"
"06/17/2025","0.5391","0.5625","0.5683","0.5325","4.51M","-4.10%"
"06/16/2025","0.5622","0.5610","0.5821","0.5534","5.69M","0.23%"
"06/15/2025","0.5609","0.5594","0.5630","0.5472","2.53M","0.27%"
"06/14/2025","0.5594","0.5706","0.5729","0.5524","3.46M","-2.04%"
"06/13/2025","0.5710","0.5866","0.5866","0.5491","9.72M","-2.88%"
"06/12/2025","0.5879","0.6132","0.6151","0.5864","14.69M","-4.04%"
"06/11/2025","0.6127","0.6226","0.6373","0.6034","14.44M","-1.50%"
"06/10/2025","0.6220","0.5928","0.6249","0.5903","12.86M","4.92%"
"06/09/2025","0.5928","0.5719","0.5938","0.5581","8.76M","3.66%"
"06/08/2025","0.5719","0.5701","0.5813","0.5632","5.21M","0.30%"
"06/07/2025","0.5701","0.5550","0.5721","0.5540","3.02M","2.72%"
"06/06/2025","0.5550","0.5403","0.5651","0.5386","7.01M","2.72%"
"06/05/2025","0.5403","0.5754","0.5821","0.5334","9.07M","-6.09%"
"06/04/2025","0.5753","0.5862","0.5933","0.5691","4.61M","-1.86%"
"06/03/2025","0.5862","0.5803","0.5961","0.5797","6.98M","1.02%"
"06/02/2025","0.5803","0.5709","0.5811","0.5592","6.93M","1.63%"
"06/01/2025","0.5710","0.5711","0.5754","0.5563","4.91M","-0.02%"
"05/31/2025","0.5711","0.5634","0.5748","0.5463","10.14M","1.36%"
"05/30/2025","0.5634","0.6165","0.6212","0.5617","12.89M","-8.58%"
"05/29/2025","0.6163","0.6444","0.6572","0.6132","12.39M","-4.33%"
"05/28/2025","0.6442","0.6217","0.6455","0.6151","10.19M","3.61%"
"05/27/2025","0.6217","0.6108","0.6282","0.5965","8.41M","1.79%"
"05/26/2025","0.6108","0.6189","0.6255","0.6057","5.87M","-1.32%"
"05/25/2025","0.6189","0.6153","0.6190","0.5952","5.13M","0.47%"
"05/24/2025","0.6160","0.6169","0.6342","0.6130","4.91M","-0.14%"
"05/23/2025","0.6169","0.6578","0.6741","0.6136","9.82M","-6.22%"
"05/22/2025","0.6578","0.6352","0.6613","0.6345","8.04M","3.55%"
"05/21/2025","0.6352","0.6243","0.6449","0.6124","9.97M","1.77%"
"05/20/2025","0.6242","0.6152","0.6328","0.6012","7.29M","1.48%"
"05/19/2025","0.6151","0.6361","0.6362","0.5912","9.48M","-3.30%"
"05/18/2025","0.6361","0.6121","0.6442","0.6003","7.62M","3.92%"
"05/17/2025","0.6121","0.6353","0.6371","0.6046","9.24M","-3.64%"
"05/16/2025","0.6352","0.6390","0.6692","0.6305","10.46M","-0.59%"
"05/15/2025","0.6389","0.6714","0.6774","0.6245","11.28M","-4.83%"
"05/14/2025","0.6714","0.6935","0.7004","0.6631","8.70M","-3.18%"
"05/13/2025","0.6935","0.6835","0.7013","0.6476","10.28M","1.45%"
"05/12/2025","0.6835","0.6671","0.7012","0.6446","17.12M","2.46%"
"05/11/2025","0.6671","0.6899","0.6963","0.6517","8.47M","-3.28%"
"05/10/2025","0.6898","0.6305","0.6898","0.6258","11.89M","9.45%"
"05/09/2025","0.6302","0.5961","0.6358","0.5915","12.39M","5.72%"
"05/08/2025","0.5961","0.5408","0.6018","0.5382","11.75M","10.20%"
"05/07/2025","0.5409","0.5355","0.5460","0.5291","7.95M","1.01%"
"05/06/2025","0.5355","0.5410","0.5440","0.5145","7.28M","-1.01%"
"05/05/2025","0.5410","0.5386","0.5444","0.5306","5.98M","0.44%"
"05/04/2025","0.5386","0.5579","0.5613","0.5366","7.41M","-3.42%"
"05/03/2025","0.5577","0.5714","0.5755","0.5479","5.80M","-2.39%"
"05/02/2025","0.5714","0.5651","0.5740","0.5602","6.29M","1.20%"
"05/01/2025","0.5646","0.5518","0.5703","0.5509","7.80M","2.32%"
"04/30/2025","0.5518","0.5546","0.5623","0.5335","9.66M","-0.51%"
"04/29/2025","0.5546","0.5550","0.5685","0.5478","7.17M","-0.06%"
"04/28/2025","0.5550","0.5501","0.5664","0.5346","8.89M","0.89%"
"04/27/2025","0.5501","0.5717","0.5776","0.5444","7.77M","-3.78%"
"04/26/2025","0.5717","0.5656","0.5842","0.5563","7.53M","1.07%"
"04/25/2025","0.5656","0.5528","0.5660","0.5467","9.18M","2.31%"
"04/24/2025","0.5528","0.5411","0.5546","0.5195","18.32M","2.16%"
"04/23/2025","0.5411","0.5345","0.5492","0.5283","11.65M","1.24%"
"04/22/2025","0.5345","0.5013","0.5388","0.4928","13.44M","6.61%"
"04/21/2025","0.5013","0.4951","0.5179","0.4931","9.93M","1.15%"
"04/20/2025","0.4957","0.5048","0.5108","0.4861","4.89M","-1.80%"
"04/19/2025","0.5048","0.5000","0.5067","0.4989","3.80M","0.95%"
"04/18/2025","0.5000","0.4979","0.5047","0.4903","3.52M","0.43%"
"04/17/2025","0.4979","0.4919","0.5062","0.4860","7.62M","1.22%"
"04/16/2025","0.4919","0.4937","0.5139","0.4909","9.08M","-0.37%"
"04/15/2025","0.4937","0.4956","0.5238","0.4893","12.61M","-0.07%"
"04/14/2025","0.4940","0.5032","0.5149","0.4901","12.66M","-1.92%"
"04/13/2025","0.5037","0.5575","0.5601","0.4971","13.72M","-9.65%"
"04/12/2025","0.5575","0.5427","0.5577","0.5330","9.81M","2.73%"
"04/11/2025","0.5427","0.5430","0.5564","0.5343","12.03M","-0.06%"
"04/10/2025","0.5430","0.6046","0.6046","0.5310","14.75M","-10.18%"
"04/09/2025","0.6046","0.5756","0.6199","0.5528","14.61M","5.10%"
"04/08/2025","0.5753","0.5947","0.6131","0.5697","7.94M","-3.29%"
"04/07/2025","0.5948","0.5821","0.6107","0.5322","23.08M","2.15%"
"04/06/2025","0.5823","0.6562","0.6568","0.5712","6.11M","-11.27%"
"04/05/2025","0.6562","0.6546","0.6647","0.6489","2.06M","0.25%"
"04/04/2025","0.6546","0.6499","0.6595","0.6307","6.13M","0.73%"
"04/03/2025","0.6499","0.6371","0.6777","0.6223","11.99M","1.98%"
"04/02/2025","0.6372","0.6626","0.6930","0.6372","9.00M","-3.83%"
"04/01/2025","0.6626","0.6533","0.6781","0.6485","3.42M","1.43%"
"03/31/2025","0.6533","0.6541","0.6651","0.6328","5.91M","-0.12%"
"03/30/2025","0.6541","0.6521","0.6636","0.6420","2.70M","0.31%"
"03/29/2025","0.6520","0.6784","0.6824","0.6426","6.92M","-3.89%"
"03/28/2025","0.6784","0.7301","0.7332","0.6717","4.22M","-7.08%"
"03/27/2025","0.7301","0.7223","0.7389","0.7157","4.63M","1.15%"
"03/26/2025","0.7219","0.7314","0.7485","0.7131","5.62M","-1.34%"
"03/25/2025","0.7317","0.7221","0.7321","0.7114","4.15M","1.30%"
"03/24/2025","0.7223","0.6952","0.7310","0.6824","5.57M","3.96%"
"03/23/2025","0.6948","0.6920","0.7014","0.6804","5.19M","0.41%"
"03/22/2025","0.6920","0.6851","0.7110","0.6786","4.61M","1.00%"
"03/21/2025","0.6851","0.7090","0.7127","0.6821","4.38M","-3.32%"
"03/20/2025","0.7086","0.7293","0.7326","0.7032","4.91M","-2.84%"
"03/19/2025","0.7293","0.7085","0.7303","0.7085","6.51M","2.93%"
"03/18/2025","0.7085","0.7163","0.7184","0.6792","4.93M","-1.09%"
"03/17/2025","0.7163","0.6809","0.7175","0.6809","5.14M","5.22%"
"03/16/2025","0.6808","0.7121","0.7175","0.6760","4.14M","-4.40%"
"03/15/2025","0.7121","0.7084","0.7171","0.6998","2.94M","0.55%"
"03/14/2025","0.7081","0.6766","0.7151","0.6744","7.44M","4.66%"
"03/13/2025","0.6766","0.6868","0.6973","0.6629","12.24M","-1.49%"
"03/12/2025","0.6868","0.6767","0.7068","0.6590","6.46M","1.75%"
"03/11/2025","0.6750","0.6393","0.6904","0.6099","10.94M","5.72%"
"03/10/2025","0.6385","0.6799","0.7269","0.6384","11.63M","-6.05%"
"03/09/2025","0.6796","0.7418","0.7455","0.6733","4.40M","-8.38%"
"03/08/2025","0.7417","0.7617","0.7660","0.7333","3.50M","-2.75%"
"03/07/2025","0.7627","0.7664","0.7912","0.7271","6.17M","-0.48%"
"03/06/2025","0.7664","0.7760","0.7982","0.7581","5.08M","-1.24%"
"03/05/2025","0.7760","0.7357","0.7781","0.7322","6.30M","5.46%"
"03/04/2025","0.7358","0.7418","0.7462","0.6813","9.61M","-0.82%"
"03/03/2025","0.7419","0.8589","0.8690","0.7332","8.16M","-13.63%"
"03/02/2025","0.8589","0.7642","0.8613","0.7511","7.74M","12.40%"
"03/01/2025","0.7642","0.7666","0.7729","0.7367","4.15M","-0.33%"
"02/28/2025","0.7667","0.7621","0.7737","0.6978","8.79M","0.59%"
"02/27/2025","0.7622","0.7605","0.7868","0.7405","5.60M","0.21%"
"02/26/2025","0.7606","0.7786","0.7891","0.7421","8.12M","-2.31%"
"02/25/2025","0.7785","0.7760","0.7919","0.7276","10.45M","0.68%"
"02/24/2025","0.7733","0.8657","0.8665","0.7665","7.44M","-10.66%"
"02/23/2025","0.8655","0.8941","0.8961","0.8590","3.20M","-3.16%"
"02/22/2025","0.8938","0.8718","0.8985","0.8692","4.87M","2.54%"
"02/21/2025","0.8716","0.8960","0.9192","0.8537","5.41M","-2.71%"
"02/20/2025","0.8960","0.8726","0.8984","0.8637","4.66M","2.66%"
"02/19/2025","0.8727","0.8541","0.8770","0.8410","4.43M","2.20%"
"02/18/2025","0.8540","0.8910","0.8962","0.8252","7.01M","-4.16%"
"02/17/2025","0.8910","0.8982","0.9226","0.8753","4.86M","-0.80%"
"02/16/2025","0.8982","0.8863","0.9078","0.8723","7.15M","1.34%"
"02/15/2025","0.8864","0.9141","0.9257","0.8775","6.68M","-3.03%"
"02/14/2025","0.9141","0.8992","0.9290","0.8887","5.81M","1.64%"
"02/13/2025","0.8993","0.9190","0.9240","0.8743","4.95M","-2.14%"
"02/12/2025","0.9190","0.8646","0.9240","0.8451","7.32M","6.28%"
"02/11/2025","0.8646","0.8922","0.9271","0.8561","7.63M","-3.07%"
"02/10/2025","0.8920","0.8811","0.9012","0.8521","6.95M","1.24%"
"02/09/2025","0.8811","0.8777","0.9217","0.8462","6.51M","0.39%"
"02/08/2025","0.8777","0.8380","0.8784","0.8270","5.66M","4.73%"
"02/07/2025","0.8381","0.8320","0.8801","0.8121","9.97M","0.72%"
"02/06/2025","0.8320","0.8640","0.8840","0.8226","8.64M","-3.70%"
"02/05/2025","0.8640","0.8791","0.9120","0.8551","7.89M","-1.72%"
"02/04/2025","0.8791","0.9391","0.9483","0.8420","13.70M","-6.39%"
"02/03/2025","0.9391","0.8881","0.9503","0.7099","33.48M","5.74%"
"02/02/2025","0.8881","1.0080","1.0263","0.8522","15.85M","-11.89%"
"02/01/2025","1.0079","1.0931","1.1030","1.0004","5.74M","-7.79%"
"01/31/2025","1.0931","1.0911","1.1348","1.0726","4.69M","0.19%"
"01/30/2025","1.0910","1.0601","1.1190","1.0536","4.62M","2.91%"
"01/29/2025","1.0601","1.0462","1.0903","1.0293","6.66M","1.35%"
"01/28/2025","1.0460","1.1008","1.1122","1.0385","4.54M","-4.98%"
"01/27/2025","1.1008","1.1168","1.1230","1.0151","12.83M","-1.44%"
"01/26/2025","1.1169","1.1541","1.1747","1.1169","6.06M","-3.22%"
