"Date","Price","Open","High","Low","Vol.","Change %"
"07/20/2025","44.83","44.58","45.19","43.80","76.92K","0.57%"
"07/19/2025","44.58","44.13","44.98","42.86","70.07K","1.02%"
"07/18/2025","44.12","45.38","46.70","43.64","136.24K","-2.76%"
"07/17/2025","45.38","44.13","45.92","43.33","100.30K","2.89%"
"07/16/2025","44.10","43.48","44.64","42.98","77.94K","1.43%"
"07/15/2025","43.48","43.09","43.70","41.46","88.79K","0.91%"
"07/14/2025","43.09","42.30","44.46","42.18","98.43K","1.86%"
"07/13/2025","42.30","42.22","43.71","41.80","78.17K","0.20%"
"07/12/2025","42.22","41.99","42.93","40.46","90.49K","0.54%"
"07/11/2025","41.99","41.98","43.78","41.29","143.90K","0.13%"
"07/10/2025","41.94","40.96","42.31","40.16","137.16K","2.36%"
"07/09/2025","40.97","43.59","44.87","38.93","280.65K","-6.04%"
"07/08/2025","43.60","38.69","43.62","38.21","121.78K","12.70%"
"07/07/2025","38.69","39.27","39.63","38.09","59.40K","-1.47%"
"07/06/2025","39.27","39.16","39.93","37.75","66.66K","0.28%"
"07/05/2025","39.16","40.02","40.52","38.51","49.55K","-2.14%"
"07/04/2025","40.02","40.77","41.89","39.11","157.04K","-1.84%"
"07/03/2025","40.77","38.83","40.78","38.40","127.76K","4.97%"
"07/02/2025","38.84","36.86","39.00","36.69","89.42K","5.35%"
"07/01/2025","36.86","38.19","38.42","36.40","107.22K","-3.49%"
"06/30/2025","38.20","40.03","40.43","38.18","103.18K","-4.60%"
"06/29/2025","40.04","38.95","40.25","38.64","73.43K","2.80%"
"06/28/2025","38.95","38.50","39.35","37.40","84.56K","1.05%"
"06/27/2025","38.54","39.15","40.02","38.46","158.74K","-1.48%"
"06/26/2025","39.12","41.39","41.70","38.79","154.24K","-5.44%"
"06/25/2025","41.38","42.70","43.02","40.95","117.26K","-3.10%"
"06/24/2025","42.70","41.32","42.88","41.22","125.93K","3.36%"
"06/23/2025","41.31","38.14","41.44","37.81","129.07K","8.32%"
"06/22/2025","38.14","39.47","40.08","36.41","156.12K","-3.39%"
"06/21/2025","39.48","40.31","41.50","38.66","121.66K","-2.07%"
"06/20/2025","40.31","41.66","42.14","39.29","64.87K","-3.27%"
"06/19/2025","41.67","42.08","42.32","41.09","35.05K","-0.99%"
"06/18/2025","42.09","41.18","43.02","40.72","107.23K","2.21%"
"06/17/2025","41.18","43.08","43.21","40.62","108.06K","-4.39%"
"06/16/2025","43.07","43.42","46.39","43.06","115.70K","-0.78%"
"06/15/2025","43.41","44.20","44.61","42.89","55.02K","-1.60%"
"06/14/2025","44.12","45.12","45.40","43.31","78.83K","-2.36%"
"06/13/2025","45.18","48.04","48.04","43.65","116.31K","-5.94%"
"06/12/2025","48.04","50.01","51.33","47.59","106.54K","-3.94%"
"06/11/2025","50.01","51.86","51.86","49.10","105.62K","-3.58%"
"06/10/2025","51.86","51.56","52.84","49.91","84.50K","0.57%"
"06/09/2025","51.57","48.73","51.71","48.42","71.07K","5.84%"
"06/08/2025","48.73","50.26","50.78","48.67","55.94K","-3.04%"
"06/07/2025","50.25","47.85","50.74","47.46","51.62K","4.38%"
"06/06/2025","48.14","47.59","49.83","46.37","73.83K","1.15%"
"06/05/2025","47.60","50.12","50.92","47.51","124.19K","-5.45%"
"06/04/2025","50.34","54.36","54.54","49.94","76.79K","-7.40%"
"06/03/2025","54.36","54.01","56.10","52.36","145.77K","0.65%"
"06/02/2025","54.01","53.10","54.40","52.14","107.17K","1.72%"
"06/01/2025","53.10","50.25","53.43","49.05","133.37K","5.65%"
"05/31/2025","50.26","47.25","50.94","45.16","123.83K","5.98%"
"05/30/2025","47.42","53.24","53.83","47.42","118.17K","-10.93%"
"05/29/2025","53.24","53.26","55.91","52.99","142.43K","-0.03%"
